# 42 個地圖區塊的字串表
# 機器產生，不要手改（tools/extract_strings.py）
blk:game1:0:1	\x0DEntering Quartz.\x0D
blk:game1:0:2	\x0DEntering Desert Nomads.\x0D
blk:game1:0:3	\x0DEntering Agricultural Center.\x0D
blk:game1:0:4	\x0DEntering Highpool.\x0D
blk:game1:0:5	\x0DEntering Needles.\x0D
blk:game1:0:6	\x0DEntering Las Vegas.\x0D
blk:game1:0:7	\x0DEntering a mine shaft.\x0D
blk:game1:0:8	\x0DEntering Savage Village.\x0D
blk:game1:0:9	\x0DEntering the Guardian's Citadel.\x0D
blk:game1:0:10	\x0DEntering Darwin Village.\x0D
blk:game1:0:11	\x0DYou come upon a little used trail which leads you to a place that you never knew existed before.\x0D
blk:game1:0:12	From the depths of the wasteland appears a hostile adversary.\x0D
blk:game1:0:13	\x0DThis mountain is in your way. Go around.\x0D
blk:game1:0:14	\x0DThe river below you is a torrent waiting to suck you down.\x0D
blk:game1:0:15	\x0DYou are caught by the river's current.\x0D
blk:game1:0:16	\x0DYou wade through the rushing water.\x0D
blk:game1:0:17	\x0DYou easily swim through the bay.\x0D
blk:game1:0:18	As calm as the water is here, you have trouble keeping your head above water.\x0D
blk:game1:0:19	\x0DIt is very warm.\x0D
blk:game1:0:20	\x0DIt's getting warmer.\x0D
blk:game1:0:21	\x0DYou are overcome by heat exhaustion.\x0D
blk:game1:0:22	\x0DIt's VERY hot!\x0D
blk:game1:0:23	\x0DThe ground seems to glow here.\x0D
blk:game1:0:24	\x0DEntering Ranger Center.\x0D
blk:game1:0:25	\x0DYou see miles and miles of endless wasteland. You decide that further progress would be hazardous to your health.\x0D
blk:game1:0:26	\x0DThe debris littered here is the fireblackened ruins of Base Cochise.\x0D
blk:game1:0:27	\x0DEntering Base Cochise.\x0D
blk:game1:0:28	\x0DEntering Sleeper Base.\x0D
blk:game1:0:29	\x0DYou see a broken down jeep.\x0D
blk:game1:0:30	\x0DAce fixes the jeep and you're on your way.\x0D
blk:game1:0:31	\x0DYou have no idea what is wrong with it.\x0D
blk:game1:0:32	\x07
blk:game1:0:33	\x0B attacks
blk:game1:0:34	\x0B shoots
blk:game1:0:35	\x0B triggers a burst
blk:game1:0:36	Waves of energy flash from \x0B
blk:game1:0:37	\x0B rips a clip
blk:game1:0:38	\x0B throws a deadly charge
blk:game1:0:39	\x0B launches a shell
blk:game1:0:40	hits \x0F 
blk:game1:0:41	 for 
blk:game1:0:42	nails \x0F 
blk:game1:0:43	\x0F 
blk:game1:0:44	 \x0Ais\x0Aare\x0A filled full of lead taking 
blk:game1:0:45	melts into \x0F 
blk:game1:0:46	shreds through \x0F 
blk:game1:0:47	inflames \x0F 
blk:game1:0:48	 but fail\x0As\x0A\x0A to inflict any damage
blk:game1:0:49	 drills 
blk:game1:0:50	 blazes away at 
blk:game1:0:51	 sprays 
blk:game1:0:52	 triggers a burst at 
blk:game1:0:53	 fries 
blk:game1:0:54	 toasts 
blk:game1:0:55	 and hits for 
blk:game1:0:56	 hammer\x0As\x0A\x0A 
blk:game1:0:57	 brutally pummel\x0As\x0A\x0A 
blk:game1:0:58	 claws 
blk:game1:0:59	 thrashes 
blk:game1:0:60	 pounces on 
blk:game1:0:61	 whomps on 
blk:game1:0:62	 and peppers \x0Ehim\x0Eher\x0Eit\x0E
blk:game1:0:63	 and rips \x0Ehim\x0Eher\x0Eit\x0E to shreds
blk:game1:0:64	 spinning \x0A\x0Ehim\x0Eher\x0Eit\x0E\x0A\x0F of them\x0A into a dance of death
blk:game1:0:65	 sending \x0A\x0Ehim\x0Eher\x0Eit\x0E\x0A\x0F of them\x0A to meet \x0A\x0Ehis\x0Eher\x0Eits\x0E\x0Atheir\x0A maker
blk:game1:1:1	\x0DEntering Dr. Quack's emergency clinic.\x0D
blk:game1:1:2	\x0DEntering Stage Coach Inn.\x0D
blk:game1:1:3	\x0DAn old abandoned shack.\x0D
blk:game1:1:4	\x0DLeaving Quartz.\x0D
blk:game1:1:5	\x0DN-S 
blk:game1:1:6	\x0DEntering Scott's Bar.\x0D
blk:game1:1:7	\x0DYou've walked into a cactus. The spines poke you and hurt a lot.\x0D
blk:game1:1:8	\x0DIt looks dark in here.\x0D
blk:game1:1:9	E-W 
blk:game1:1:10	\x0DThis doesn't look like a safe place to enter.\x0D
blk:game1:1:11	Something just leaped out from nowhere.\x0D
blk:game1:1:12	Unfriendly foes stand before you.\x0D
blk:game1:1:13	These guys don't want to invite you to a party.\x0D
blk:game1:1:14	It seems you have wandered where you shouldn't.\x0D
blk:game1:1:15	\x0DEntering from the rear of Scott's Bar.\x0D
blk:game1:1:16	\x0DEntering the Courthouse.\x0D
blk:game1:1:17	\x0DA high stone wall surrounds the cemetery.\x0D
blk:game1:1:18	\x0DYou climb on the top and help anyone else that needs it.\x0D
blk:game1:1:19	\x0DIt is too difficult for you.\x0D
blk:game1:1:20	\x0DThe desert burial ground inside looks serene enough...\x0D
blk:game1:1:21	\x0DThe old cemetery is an eerie place. Wait! Something just moved inside!\x0D
blk:game1:1:22	Spirits pop out from a grave.\x0D
blk:game1:1:23	\x0DThe cemetery gates are chained shut and locked.\x0D
blk:game1:1:24	\x0DThe padlock opens. You unchain the gates and enter.\x0D
blk:game1:1:25	\x0DThe lock is rusted shut and won't come open.\x0D
blk:game1:1:26	\x0DThe gravestone is inscribed: Ken St. Andre, 4/28/47--4/28/87.\x0D
blk:game1:1:27	\x0DThe headstone says: Lester More, shot by a .44. No Les, no more.\x0D
blk:game1:1:28	\x0DThe grave reads: Grave of the Unknown Mutant.\x0D
blk:game1:1:29	\x0DThe grave reads: R.I.P. Mediocre Phred.\x0D
blk:game1:1:30	\x0DThe headstone says: Reserved for Finster.\x0D
blk:game1:1:31	\x0DThe headstone says: In memory of Richard Pickman.\x0D
blk:game1:1:32	\x0DYou crawl through the slimy underground.\x0D
blk:game1:1:33	\x0DEntering Quartz Emporium.\x0D
blk:game1:1:34	\x0DYou are in the graveyard. How grisly!\x0D
blk:game1:1:35	Quail Trail\x0D
