# game2 資源 38：蘑菇雲僕從神殿（Temple of the Servants of the Mushroom Cloud）
#
# ⚠ 密語與玩家要輸入的答案不翻：Y／N／EINSTEIN／OPPENHEIMER／BLOODSTAFF／
# FAT FREDDY／FARAN BRYGO。
#
# 這個教派把核物理學家當神拜（愛因斯坦、歐本海默、普朗克），
# 敘述裡的人名照翻，但當成「聖名」要輸入的那兩條保留原文。
blk:game2:38:1	\x0D這裡是蘑菇雲僕從神殿。褪色的海報貼滿牆面。\x0D
blk:game2:38:2	\x0D側廳昏暗而安靜，北邊明亮而安靜。\x0D
blk:game2:38:3	\x0D你聽見冥想的聲音。\x0D
blk:game2:38:4	\x0D這是一間小冥想室，對面牆上掛著一幅畫。\x0D
blk:game2:38:5	\x0D前方房間傳出各種真言的高聲吟誦。\x0D
blk:game2:38:6	\x0D這是一間衣物儲藏室。\x0D
blk:game2:38:7	\x0D一塊招牌從天花板垂下，寫著「出口在此」。\x0D
blk:game2:38:8	\x0D「願大輝光指引你們的旅途。」\x0D
blk:game2:38:9	\x0D「滾開，你們這些卑劣的異教徒。」\x0D
blk:game2:38:10	\x0D「你管那叫供品？」\x0D
blk:game2:38:11	\x0D這道高保安等級的門看起來非常堅固。\x0D
blk:game2:38:12	\x0D你爬過瓦礫堆。\x0D
blk:game2:38:13	\x0D你在牆上發現一道暗門。\x0D
blk:game2:38:14	\x0D這是一道上鎖的鋼門。\x0D
blk:game2:38:15	\x0D進入核子急救站。\x0D
blk:game2:38:16	\x0D進入聖知識中心。\x0D
blk:game2:38:17	\x0D厚重的鋼門擋住了去路。\x0D
blk:game2:38:18	你踩到了裸露的電線。\x0D
blk:game2:38:19	你碰到了外露的元件。\x0D
blk:game2:38:20	\x0D你的本事告訴你，在這間電力室裡再往前走並不安全。\x0D
blk:game2:38:21	\x0D這是半人形神殿守衛的居所。\x0D
blk:game2:38:22	\x0D你成功把它焊死了。\x0D
blk:game2:38:23	\x0D你割開焊縫把它打開了。\x0D
blk:game2:38:24	\x0D牆上有幾個開著的射孔。\x0D
