# game1 資源 3：驛馬車旅館（Stagecoach Inn）與後巷
#
# ⚠ 全大寫的詞（INFO／ROOM／CHAT／MONEY／GANG／SECRET／MAYOR／COURTHOUSE／
# BACK WAY／SNAKE SQUEEZINS／NO）與密語（URAQT2／URABUTLN）**不翻**——
# 那些是玩家要輸入或選取的詞，密語的比對程式碼還沒逆向（`docs/re/33` §4）。
# 門與戰鬥動詞走 `_shared.tsv`，這裡只放這張地圖自己的敘述。
blk:game1:3:3	\x0D門沒有打開。\x0D
blk:game1:3:4	\x0D你從隧道出來時驚動了一個睡著的流浪漢，他拔腿就跑。\x0D
blk:game1:3:5	\x0D你游到岸邊。\x0D
blk:game1:3:6	\x0D咕嚕、咕嚕！\x0D
blk:game1:3:7	\x0D進入隧道。\x0D
blk:game1:3:8	\x0D你很難把頭維持在水面上。\x0D
blk:game1:3:9	\x0D你輕鬆地游著。\x0D
blk:game1:3:10	\x0D你站在泳池邊的平台上。\x0D
blk:game1:3:11	\x0D桌上有食物包裝紙、瓶子、菸灰缸和蟑螂。\x0D
blk:game1:3:12	\x0D這堆垃圾令人作嘔，臭味讓你想吐。\x0D
blk:game1:3:13	\x0D上面滿是指紋，但你看到一瓶還沒開過的。\x0D
blk:game1:3:14	\x0D一把椅子癱在牆邊。\x0D
blk:game1:3:15	\x0D一張髒床靠著牆，床腳勉強撐著它。\x0D
blk:game1:3:16	\x0D牌子上寫著：休息中。\x0D
blk:game1:3:17	\x0D這裡有張櫃檯，後面坐著一個昏昏欲睡的本地人。一道木欄杆把房間隔開。\x0D
blk:game1:3:18	櫃檯員問：「要找消息（INFO）還是住房（ROOM）？」\x0D
blk:game1:3:19	INFO
blk:game1:3:20	ROOM
blk:game1:3:21	\x0D「房間五十塊，」他說，「那個不另外收費！」\x0D
blk:game1:3:22	\x0D「這是你的鑰匙，十號房。」\x0D
blk:game1:3:23	\x0D「啊？我沒聽清楚。左耳有點背。」\x0D
blk:game1:3:24	\x0D一個櫃檯員在檔案櫃旁邊做事。\x0D
blk:game1:3:25	\x0D木欄杆擋住了你。\x0D
blk:game1:3:26	\x0D你越過欄杆。\x0D
blk:game1:3:27	\x0D你扭到了背，欄杆還是擋在那裡。\x0D
blk:game1:3:28	\x0D地毯上沾著血。\x0D
blk:game1:3:29	\x0D一塊染血的牌子寫著：休息中。往你的左邊走。\x0D
blk:game1:3:30	\x0D垂死的櫃檯員呻吟著：「詭雷會逮到你的！」\x0D
blk:game1:3:31	\x0D這個檔案櫃鎖著。\x0D
blk:game1:3:32	\x0D你注意到一截扭曲的電線，直覺告訴你動錯地方它就會炸。\x0D
blk:game1:3:33	\x0D幸好你找對了線，把它拆掉了。\x0D
blk:game1:3:34	\x0D鎖開了。裡面有旅館紀錄、一個錢箱，還有一樣真正有意思的東西……\x0D
blk:game1:3:35	\x0D歡迎光臨驛馬車旅館。\x0D
blk:game1:3:36	\x0D門上的招牌寫著「大廳」。\x0D
blk:game1:3:37	\x0D酒館門上的招牌寫著「餅乾的伙食車」。\x0D
blk:game1:3:38	\x0D你在餐廳裡。這地方看起來沒人。\x0D
blk:game1:3:39	\x0D這張桌子上堆滿髒盤子。\x0D
blk:game1:3:40	\x0D玻璃杯上油膩膩的都是魚油，盤子裡全是魚骨頭。\x0D
blk:game1:3:41	\x0D一個老廚子拿湯匙指著你：「我叫你別進來的！」\x0D
blk:game1:3:42	\x0D餅乾把一桶滾燙的油倒在你身上：「我說過你會後悔！」他咯咯笑著。\x0D
blk:game1:3:43	\x0D老廚子畏縮著：「別煩我！」\x0D
blk:game1:3:44	\x0D要找鎮長的話，去頂樓。你會需要炸藥。\x0D
blk:game1:3:45	\x0D餅乾朝你揮手。走吧，你在這裡沒事，而且可能會在油上滑倒。\x0D
blk:game1:3:46	\x0D你又跑回來這裡幹嘛？滾！\x0D
blk:game1:3:47	10。\x0D
blk:game1:3:48	11。\x0D
blk:game1:3:49	12。\x0D
blk:game1:3:50	14。\x0D
blk:game1:3:51	15。\x0D
blk:game1:3:52	16。\x0D
blk:game1:3:53	17。\x0D
blk:game1:3:54	18。\x0D
blk:game1:3:55	19。\x0D
blk:game1:3:56	20。\x0D
blk:game1:3:57	\x0D門上刷著「清潔部」。\x0D
blk:game1:3:58	\x0D離開驛馬車旅館。\x0D
blk:game1:3:59	「為了確定你們沒問題，告訴我你對媽說了什麼，或者她對你說了什麼。」\x0D
blk:game1:3:60	URAQT2
blk:game1:3:61	URABUTLN
blk:game1:3:62	NO
blk:game1:3:63	\x0D「你們都沒事。我們得小心。我相信你們會解放我們的小鎮。把桌上的東西拿走，那會幫上忙。」\x0D
blk:game1:3:64	\x0D蘿莉轉動輪椅說：「祝好運。你回來的時候我不會在這裡了。」\x0D
blk:game1:3:65	\x0D這裡有一張普通的桌子。\x0D
blk:game1:3:66	\x0D「人質關在法院三樓。一樓有一道後樓梯可以上去。」\x0D
blk:game1:3:67	\x0D「樓梯在檔案室裡。門是鋼製的，但守得不嚴。」\x0D
blk:game1:3:68	\x0D「我們查到進法院的密語是 MUERTE。」\x0D
blk:game1:3:69	\x0D你這才發現她是個二十歲、坐輪椅的女人！你這人渣……\x0D
blk:game1:3:70	\x0D她瞪著你死去：「要是你聰明一點，有我幫忙會順利得多。」\x0D
blk:game1:3:71	\x0D你把門劈碎了，完全沒想到門後有人。\x0D
blk:game1:3:72	\x0D一個年輕女人從輪椅上翻落，一根木刺插在她的喉嚨上。\x0D
blk:game1:3:73	\x0D架子積著灰，但空的。\x0D
blk:game1:3:74	\x0D這個木櫃是空的。\x0D
blk:game1:3:75	\x0D你剛好往床底下瞄了一眼。幸好女服務生忘了打掃那裡！\x0D
blk:game1:3:76	「你在這裡幹什麼？」一個歹徒咆哮，「上，狼牙！」他對他的狗下令。\x0D
blk:game1:3:77	「查格本，該練靶了。」一個歹徒說。\x0D
blk:game1:3:78	\x0D一個流浪漢攔住你：「老兄，有沒有分我一點？我會很感激的。」\x0D
blk:game1:3:79	\x0D流浪漢眉開眼笑：「多謝你了！那邊有一道地板暗門。」\x0D
blk:game1:3:80	\x0D你要我拿這個幹嘛？就不能多分一點嗎？\x0D
