# game1 資源 6：石英城法院（Quartz Courthouse）
#
# ⚠ 密語與關鍵字不翻：MUERTE／UGLY／SQUINT／MULEFOOT。
blk:game1:6:1	歹徒和看門狗從一處隱密的藏身點冒出來。「誰派你們來的？」\x0D
blk:game1:6:2	MUERTE
blk:game1:6:3	UGLY
blk:game1:6:4	SQUINT
blk:game1:6:5	MULEFOOT
blk:game1:6:6	\x0D他們點點頭讓你們過去。\x0D
blk:game1:6:7	\x0D「要是阿醜派你們來的，他一定會給你們密語！」\x0D
blk:game1:6:8	\x0D「不是這個！」\x0D
blk:game1:6:9	「你們只是來找碴的。密語是什麼？」\x0D
blk:game1:6:10	\x0D這是一面從天花板到地板的玻璃牆。\x0D
blk:game1:6:11	\x0D你破牆而過。\x0D
blk:game1:6:12	\x0D那樣沒有用。\x0D
blk:game1:6:13	\x0D幸好沒有人被飛濺的玻璃割傷。\x0D
blk:game1:6:14	\x0D倒楣的幾個正在把玻璃碎片從身上挑出來。\x0D
blk:game1:6:15	\x0D你的靴子踩在碎片上發出脆響。\x0D
blk:game1:6:16	\x0D你在一樓。\x0D
blk:game1:6:17	\x0D入口附近有玻璃牆，西邊是一座玻璃圍起來的中庭。\x0D
blk:game1:6:18	\x0D玻璃門安靜地開了。裡面的空氣又暖又濕。\x0D
blk:game1:6:19	\x0D中庭的牆幾乎全是玻璃，有三層樓高。\x0D
blk:game1:6:20	\x0D運氣和本事夠的話，你也許爬得上這面牆。\x0D
blk:game1:6:21	\x0D一條隱密的隧道消失在幾塊岩石底下。\x0D
blk:game1:6:22	神射手蹲在門口，手槍噴著火舌！\x0D
blk:game1:6:23	一個扁臉男人笑著放出飢餓的雜種狗撲上來。\x0D
blk:game1:6:24	\x0D你聽見隔壁房間有人在叫嚷。\x0D
blk:game1:6:25	\x0D你最好安靜一點。北邊房間傳來守衛的說話聲。\x0D
blk:game1:6:26	\x0D門一碰就開了。\x0D
blk:game1:6:27	\x0D你爬樓梯上到二樓。\x0D
blk:game1:6:28	\x0D下行樓梯旁的牌子寫著：二樓。\x0D
blk:game1:6:29	\x0D樓梯旁的牌子寫著：一樓。\x0D
blk:game1:6:30	\x0D你下到一樓。\x0D
blk:game1:6:31	\x0D你爬上三樓。\x0D
blk:game1:6:32	\x0D上行樓梯旁的牌子寫著：二樓。\x0D
blk:game1:6:33	\x0D這裡的牌子寫著：三樓。\x0D
blk:game1:6:34	\x0D你下到二樓。\x0D
blk:game1:6:35	\x0D你爬到頂樓。\x0D
blk:game1:6:36	\x0D樓梯往下延伸。\x0D
blk:game1:6:37	\x0D樓梯往上爬進黑暗裡。\x0D
blk:game1:6:38	\x0D這裡不適合爬牆，天花板往內斜蓋在頭上。\x0D
blk:game1:6:39	\x0D你看到往上攀爬的藤蔓。\x0D
blk:game1:6:40	\x0D這裡綁不了繩子。\x0D
blk:game1:6:41	\x0D離開法院。\x0D
blk:game1:6:42	\x0D你摔了下去，重重落地！\x0D
blk:game1:6:43	\x0D藤蔓勉強撐得住你。這裡爬得下去，但爬不上來。\x0D
blk:game1:6:44	\x0D你順著葉子滑下去，安全落地。\x0D
blk:game1:6:45	\x0D藤蔓斷了，你滑了下去。\x0D
blk:game1:6:46	\x0D藤蔓很滑，但你安全地爬下一層。\x0D
blk:game1:6:47	\x0D這些檔案櫃裡沒有什麼有意思的東西。\x0D
blk:game1:6:48	\x0D這是一道上鎖的鋼製金庫門。\x0D
blk:game1:6:49	\x0D你成功破開了門！\x0D
blk:game1:6:50	\x0D請看第 107 段。\x0D
blk:game1:6:51	\x0D轉角的守衛對你皺起眉頭。\x0D
blk:game1:6:52	「我不認得你。密語是什麼？」\x0D
blk:game1:6:53	\x0D「喂，刺針，有人闖進來了！」\x0D
blk:game1:6:54	\x0D不可思議地，沒有人聽見。\x0D
blk:game1:6:55	\x0D你弄出的聲音大到沒人追過來就算走運。\x0D
blk:game1:6:56	\x0D你使出艾洛·弗林式的一躍，跳上桌子！\x0D
blk:game1:6:57	\x0D你輕鬆打開門，看見一個守衛靠著牆睡著。\x0D
blk:game1:6:58	\x0D守衛睡著了。你也許能在他拉警報之前制伏他。\x0D
blk:game1:6:59	\x0D他是裝睡的！他開始大喊求救！\x0D
blk:game1:6:60	\x0D你和他扭打，無聲無息地把他打昏。\x0D
blk:game1:6:61	「休伊，幫我！杜威，快出來！」他揮著刀撲向你。\x0D
blk:game1:6:62	一個臉上有草莓胎記的壯漢用步槍瞄準你。\x0D
blk:game1:6:63	那群歹徒死死地瞄準你。\x0D
blk:game1:6:64	那群歹徒非常意外，但還是去搶他們的槍。\x0D
blk:game1:6:65	「你殺了我兄弟！」一個有同樣胎記的男人說，「你會後悔的。」\x0D
blk:game1:6:66	\x0D請看第 147 段。\x0D
blk:game1:6:67	\x0D你一眼就看得出，這兩個臉上都有大片草莓胎記的男人是雙胞胎。\x0D
blk:game1:6:68	\x0D請看第 155 段。\x0D
blk:game1:6:69	\x0D你聽見門後有粗暴的說話聲，還有人在呻吟。\x0D
blk:game1:6:70	\x0D一個死人被綁在椅子上，是被刑求死的。\x0D
blk:game1:6:71	\x0D一個被刑求、快死的男人坐在椅子上。他急需喝點東西。\x0D
blk:game1:6:72	\x0D他正在恢復。他眨了眨眼睜開來。「謝謝你們。」他說。\x0D
blk:game1:6:73	\x0D你的努力對他沒有幫助。\x0D
blk:game1:6:74	\x0D折磨太過沉重。那個男人咳了幾聲就死了。\x0D
blk:game1:6:75	\x0D「我叫丹尼·西特林。那對三胞胎要我們的錢。我和老爸就藏在他們眼皮底下。」\x0D
blk:game1:6:76	\x0D「看來你們救出了佩德羅斯鎮長。你們要的話，我可以幫忙把他弄出去。」\x0D
blk:game1:6:77	\x0D「讓我幫你們救鎮長。我帶你們回牢房那邊，守衛就會放我們過去。」\x0D
blk:game1:6:78	「要把丹尼帶回牢房？去吧。就在那下面。」\x0D
blk:game1:6:79	\x0D其中一個抓了抓髒下巴，決定識時務者為俊傑。「好啦別停，繼續走。」\x0D
blk:game1:6:80	「你知道今天的密語嗎？」\x0D
blk:game1:6:81	\x0D你在頂樓。南牆上的藤蔓是唯一下去的路。\x0D
blk:game1:6:82	\x0D一塊招牌用生鏽的鐵鏈吊在天花板上：石英城監獄。\x0D
blk:game1:6:83	\x0D一張褪色的海報寫著：「幫自己一個忙，保持乾淨！」\x0D
blk:game1:6:84	\x0D那個歹徒離開時點了點頭。也該把他帶回牢房了。\x0D
blk:game1:6:85	\x0D那個歹徒哼了一聲走開。「你看起來知道自己在幹嘛。不干我的事。」\x0D
blk:game1:6:86	\x0D其他人聽到打鬥聲跑了過來。\x0D
blk:game1:6:88	從陰暗的角落攻來……\x0D
blk:game1:6:89	\x0D你透過玻璃看到幾間會議室。這裡爬得上去但下不來。南牆上的藤蔓才是下去的路。\x0D
blk:game1:6:90	\x0D請看第 49 段。\x0D
blk:game1:6:91	\x0D這裡有幾個抽屜。\x0D
