# game1 資源 27：針岩城的血之神殿（祭壇、犧牲室、聖遊戲格、地下飛彈井）
#
# ⚠ 玩家要輸入的答案不翻：30／THIRTY／MOTEKIM／MORTAR／ATOM／Y。
# 「唯一的真道有幾步」答 30，數字題照原樣。
#
# 67 的塗鴉是 "Kilroy was here" 的變體（KILL ROY ＝ 殺了羅伊），
# 靠英文拼字才成立，名字保留原文。USAF 是燒在結構上的字樣，也保留。
blk:game1:27:1	\x0D你站在血之神殿的門廊！\x0D
blk:game1:27:2	\x0D離開血之神殿。\x0D
blk:game1:27:3	\x0D別去撞牆。\x0D
blk:game1:27:4	「我們這裡不歡迎褻瀆神殿的人！」\x0D
blk:game1:27:5	\x0D這道門通往一間巨大的祭壇廳。裡面每個人都在深沉的冥想中，沒有理你。\x0D
blk:game1:27:6	\x0D請看第 124 段。\x0D
blk:game1:27:7	\x0D「這個位子好像有人了。」\x0D
blk:game1:27:8	\x0D別站到祭壇上！\x0D
blk:game1:27:9	\x0D這道染血的門鎖著。門把上滿是乾掉的血。\x0D
blk:game1:27:10	\x0D你順利把門打開了。\x0D
blk:game1:27:12	\x0D這裡看起來像是儲藏室。\x0D
blk:game1:27:13	\x0D門的碎片散落在這裡。\x0D
blk:game1:27:14	\x0D請看第 136 段。\x0D
blk:game1:27:15	\x0D你站在犧牲室的入口。\x0D
blk:game1:27:16	\x0D\x0D\x0D\x0D\x0D請看第 112 段。\x0D
blk:game1:27:17	\x0D房間裡有一張電椅。請坐。\x0D
blk:game1:27:18	「現在，我們要處決你們！」\x0D
blk:game1:27:19	\x0D你看到一個黑牆的房間，看起來是更衣室。\x0D
blk:game1:27:20	\x0D你看到一個紅牆的房間，看起來是更衣室。\x0D
blk:game1:27:21	\x0D請看第 77 段。\x0D
blk:game1:27:22	「去死吧！玷污聖遊戲的傢伙！」\x0D
blk:game1:27:23	「歡迎來到神聖的遊戲格。\x0D\x0D你們要玩嗎？」\x0D\x0D\x11\x10Y 是\x0D\x10N 否\x0D
blk:game1:27:24	Y
blk:game1:27:25	\x0D請看第 37 段。\x0D
blk:game1:27:26	\x0D一個宏亮的聲音說：「你們偏離了聖道！再偏一次就要付出代價！」\x0D
blk:game1:27:27	\x0D一股看不見的力量把你甩出那一格。」\x0D
blk:game1:27:28	\x0D遊戲格的四個角落，載著巨大雷射砲塔的堡壘結構從地板升了上來。\x0D
blk:game1:27:29	\x0D四座角落砲塔各射出一道光束。一個大嗓門尖叫：「不准偏離聖道！」\x0D
blk:game1:27:30	\x0D那個戴冠的機器人啟動了，說：「唯一的真道有幾步？」\x0D
blk:game1:27:31	30
blk:game1:27:32	\x0D地板上打開一道活門，你掉了下去，落到……\x0D
blk:game1:27:33	你站在一面控制板前。它問：「你要關閉嗎？」\x0D\x0D\x11\x10Y 是\x0D\x10N 否\x0D
blk:game1:27:34	你站在一面控制板前。它問：「你要啟動嗎？」\x0D\x0D\x11\x10Y 是\x0D\x10N 否\x0D
blk:game1:27:35	「喂！你們不該在這裡！」\x0D
blk:game1:27:36	\x0D雷射關閉了。\x0D
blk:game1:27:37	\x0D雷射啟動了。\x0D
blk:game1:27:38	\x0D地板上方一座雷射砲塔正橫著瞄準那張床。\x0D
blk:game1:27:39	\x0D嗡嗡聲漸漸停了，那個流浪漢自由了。\x0D
