# game1 資源 10：高池鎮（Highpool）與峽谷洞穴
#
# ⚠ 關鍵字不翻：Y／N／BOBBY'S DOG／REX／DOG／JACKIE／CAVE／BUSH／BUSHES。
#
# 紅騎士（Red Ryder）是 1930 年代美國西部漫畫的主角，同名的
# 「Red Ryder Range Model 空氣槍」是當年小孩的經典玩具。這一段是致敬《聖誕故事》，
# 譯名保留「紅騎士」並在槍名裡留原文型號，讓看得懂的人認得出來。
blk:game1:10:1	\x0D石灰岩峭壁聳立在頭頂上。\x0D
blk:game1:10:2	\x0D溪水汩汩流下，峽谷的岩壁傳來奇異的回音。\x0D
blk:game1:10:3	\x0D一隻紅尾鵟從高空飛過。\x0D
blk:game1:10:4	\x0D灌木攀附在這座死巷峽谷的岩壁上。\x0D
blk:game1:10:5	\x0D崖面上佈滿貝殼與蟲跡化石。\x0D
blk:game1:10:6	\x0D你過不了這面崖壁。\x0D
blk:game1:10:7	\x0D洞壁被水氣浸得滑溜。\x0D
blk:game1:10:8	\x0D洞壁很潮濕。\x0D
blk:game1:10:9	\x0D溪水急急地流進高聳的崖壁底下。\x0D
blk:game1:10:10	\x0D你在高池鎮北邊的沙漠裡。\x0D
blk:game1:10:11	\x0D你站在高池溪裡，水深及膝。水很涼，石頭很滑。\x0D
blk:game1:10:12	\x0D離開高池鎮。\x0D
blk:game1:10:13	\x0D你腳一滑，噗通一聲摔進水裡。你羞得滿臉發燙，還聽見小孩的笑聲。\x0D
blk:game1:10:14	\x0D你踩著大石頭輕鬆走了過去。\x0D
blk:game1:10:15	變種小孩躲在暗處嘲笑，手上拿著彈弓。\x0D
blk:game1:10:16	\x0D奇怪的是，你沒看到屍體，也沒看到血。附近更是一個小孩都沒有。\x0D
blk:game1:10:17	\x0D灌木後面傳來一聲竊笑，接著輕輕一句：「哪哪，沒打中我，哪哪！」\x0D
blk:game1:10:18	\x0D這是一座遊樂場，有鞦韆和溜滑梯，四周都是灌木。\x0D
blk:game1:10:19	\x0D灌木沙沙作響，一個童稚的聲音問：「怎麼啦？槍法這麼爛，遊俠？」\x0D
blk:game1:10:20	\x0D一個小孩的影子從鞦韆架下閃過。「哈哈，沒打中我！」那孩子咯咯笑著。\x0D
blk:game1:10:21	那群變種小鬼笑得東倒西歪。\x0D
blk:game1:10:22	\x0D你還是既沒找到血，也沒找到屍體。\x0D
blk:game1:10:23	\x0D一個小孩喊道：「我阿嬤槍法都比你好！」\x0D
blk:game1:10:24	\x0D你走出洞穴。\x0D
blk:game1:10:25	\x0D進入醫護所。\x0D
blk:game1:10:26	一個戴帽子的胖小孩站起來嘟著嘴：「你們應該找跟自己一樣大的人欺負！」\x0D
blk:game1:10:27	\x0D一個孩子倒在你腳邊，紅騎士帽掉在一旁。一隻小狗嗚咽著爬過來，把頭靠在男孩胸口。\x0D
blk:game1:10:28	\x0D一陣熱風吹起漫天塵土。你卻打了個寒顫。\x0D
blk:game1:10:29	\x0D塵埃落定，眼前的山谷變了樣，你幾乎認不出來。\x0D
blk:game1:10:30	\x0D從飛旋的塵土中緩緩現身的是……大名鼎鼎的紅騎士本人！他神情既哀傷又憤怒。\x0D
blk:game1:10:31	紅騎士舉起他的 Red Ryder 空氣槍（槍托上還嵌著指南針）開火了！\x0D
blk:game1:10:32	\x0D一叢風滾草從你身邊彈過。你聽見遠處傳來孩子們的笑聲。\x0D
blk:game1:10:33	\x0D你以為你殺得了紅騎士？想都別想，老兄！\x0D
blk:game1:10:34	\x0D高池溪汩汩流過，看起來大概兩呎深。\x0D
blk:game1:10:35	\x0D一個含著眼淚的男孩從附近的樹叢後看著你。\x0D
blk:game1:10:36	要跟他說話嗎？\x0D\x0D\x11\x10Y 是\x0D\x10N 否\x0D
blk:game1:10:37	Y
blk:game1:10:38	N
blk:game1:10:39	\x0D進入商店。\x0D
blk:game1:10:40	\x0D那個小男孩抽噎著喊了聲「雷克斯！」，就跑走了。\x0D
blk:game1:10:41	BOBBY'S DOG
blk:game1:10:42	你想問他什麼？\x0D
blk:game1:10:43	REX
blk:game1:10:44	DOG
blk:game1:10:45	JACKIE
blk:game1:10:46	CAVE
blk:game1:10:47	BUSH
blk:game1:10:48	\x0D「不要殺我的狗雷克斯，好不好？拜託！」\x0D
blk:game1:10:49	\x0D「我叫過潔琪不要靠近那個洞穴的！」\x0D
blk:game1:10:50	\x0D「洞穴在灌木叢後面，可是我們不可以去那裡。」\x0D
blk:game1:10:51	\x0D那孩子扭扭捏捏，然後聳聳肩：「我不知道。」\x0D
blk:game1:10:52	\x0D「真的，雷克斯不是故意生病的。我只是把牠藏起來等牠好一點。」\x0D
blk:game1:10:53	BUSHES
blk:game1:10:54	\x0D「我把雷克斯藏在洞穴裡養病。不要傷害牠，好嗎？」\x0D
blk:game1:10:55	\x0D「潔琪昨天進了那個洞穴。我到現在都沒看到她。」\x0D
blk:game1:10:56	\x0D「洞穴在水池和西邊崖壁中間，大概在那兩棵樹之間。」\x0D
blk:game1:10:57	\x0D你找到一個通往黑暗洞穴的深洞。一截約三吋長的磨損繩頭掛在樹枝上。\x0D
blk:game1:10:58	\x0D你把繩子綁在樹枝上，順著爬進黑暗裡。\x0D
blk:game1:10:59	\x0D就算在這裡，洞裡還是很暗。地面都是碎石。\x0D
blk:game1:10:60	\x0D你看到一截斷掉的繩子，那些孩子就是從這裡進出的。\x0D
blk:game1:10:61	你聽見像金屬撕裂般的低吼。一隻巨犬從陰暗角落撲出，嘴角冒著白沫。\x0D
blk:game1:10:62	\x0D一堆新土上插著一塊木板，寫著：「我的狗雷克斯，被自封正義的遊俠射殺。」\x0D
