# game1 資源 29：農業中心的地窖（衛星設施遺址與兔害巢穴）
blk:game1:29:1	\x0D走下一道幾百呎高的階梯之後，你們進入了地窖。\x0D
blk:game1:29:2	\x0D這一帶有許多形狀怪異、高低不齊的土堆。到處長著蘑菇。\x0D
blk:game1:29:3	\x0D看起來能吃的蘑菇到處都是，但髒到剛好讓人不想吃。\x0D
blk:game1:29:4	\x0D那道朽爛的門靠在斷掉的鉸鏈上。\x0D
blk:game1:29:5	\x0D一百年前，這個房間會是電子玩家的夢想，但現在所有設備看起來都壞到修不好了。\x0D
blk:game1:29:6	\x0D一台儀表板，儀表都壞了，上面積著薄薄一層灰。\x0D
blk:game1:29:8	\x0D儀表板底下有一本日記！它是從大浩劫剛過那時開始寫的。請看第 6 段。\x0D
blk:game1:29:9	\x0D幾張桌子上堆滿老舊報廢的無線電設備。\x0D
blk:game1:29:10	\x0D認不出來的機器零件。\x0D
blk:game1:29:11	\x0D這道朽爛的門沒有鎖。\x0D
blk:game1:29:12	\x0D這一帶顯然是儲藏室，有許多老木箱和空紙箱。\x0D
blk:game1:29:13	\x0D這個箱子裡什麼都沒有。\x0D
blk:game1:29:15	\x0D你們吃力地爬上那道長長的階梯。\x0D
blk:game1:29:16	\x0D這一帶有很濃的動物味與濕泥土味。裡面很暗，看不太清楚。\x0D
blk:game1:29:17	幾隻兇猛的動物憑空出現。\x0D
blk:game1:29:18	\x0D你們沿著隧道走了回去。\x0D
blk:game1:29:19	\x0D往沙漠出去。（外面的味道絕對好聞多了。）\x0D
blk:game1:29:20	披著甲、長著長耳、粉白相間的毛球朝你們衝過來。\x0D
blk:game1:29:21	披著甲的褐色毛球憤怒地嚎叫著發動攻擊。\x0D
blk:game1:29:23	你們一靠近，負鼠就集結成群，搖搖擺擺地朝你們過來。\x0D
blk:game1:29:24	\x0D你沒辦法穿過土牆。\x0D
blk:game1:29:25	\x0D這裡的牆非常堅固。\x0D
blk:game1:29:26	\x0D這面混凝土牆看起來相當穩固。\x0D
blk:game1:29:27	\x0D這面牆看起來是灰泥的，但非常紮實。\x0D
