monster:7mm Vulcan Cannon\x0A\x0As\x0A	7 公釐火神砲\x0A\x0A\x0A
monster:Ace	王牌艾斯（Ace）
monster:Acolyte\x0A\x0As\x0A	侍僧\x0A\x0A\x0A
monster:Adept Alina	艾莉娜行者（Adept Alina）
monster:Adept Dale	戴爾行者（Adept Dale）
monster:Adept Flora	芙蘿拉行者（Adept Flora）
monster:Adept Kate	凱特行者（Adept Kate）
monster:Adept Mandisa	曼蒂莎行者（Adept Mandisa）
monster:Adept Nadine	娜汀行者（Adept Nadine）
monster:Adept Roxanne	羅珊行者（Adept Roxanne）
monster:Adept Tara	泰拉行者（Adept Tara）
monster:Al\x0A\x0As\x0A	阿爾（Al）\x0A\x0A\x0A
monster:Android	人造人
monster:Auto Laser Turret	自動雷射砲塔
monster:Auto rifle\x0A\x0As\x0A	自動步槍\x0A\x0A\x0A
monster:Baby Topeka\x0A\x0As\x0A	托皮卡幼獸\x0A\x0A\x0A
monster:Bandit\x0A\x0As\x0A	強盜\x0A\x0A\x0A
monster:Barkeep\x0A\x0As\x0A	酒保\x0A\x0A\x0A
monster:Base Policem\x0Aa\x0Ae\x0An	基地警衛\x0A\x0A\x0A
monster:Biker Scum	飛車惡棍
monster:Biker Thug\x0A\x0As\x0A	飛車暴徒\x0A\x0A\x0A
monster:Blind Minecrawler\x0A\x0As\x0A	盲眼礦坑爬蟲\x0A\x0A\x0A
monster:Blood Priest	血祭司
monster:Bloodbeast\x0A\x0As\x0A	血獸\x0A\x0A\x0A
monster:Boa Tronstrictor\x0A\x0As\x0A	電子蟒\x0A\x0A\x0A
monster:Bobb\x0Ay\x0Aies\x0A	小警察\x0A\x0A\x0A
monster:Bodyguard\x0A\x0As\x0A	保鑣\x0A\x0A\x0A
monster:Bouncer\x0A\x0As\x0A	打手\x0A\x0A\x0A
monster:Brass Jerk\x0A\x0As\x0A	銅牌混混\x0A\x0A\x0A
monster:Brat\x0A\x0As\x0A	小屁孩\x0A\x0A\x0A
monster:Brother Akira	亞基拉修士（Brother Akira）
monster:Brother Andrew	安德魯修士（Brother Andrew）
monster:Brother Anthony	安東尼修士（Brother Anthony）
monster:Brother Austin	奧斯汀修士（Brother Austin）
monster:Brother Boris	鮑里斯修士（Brother Boris）
monster:Brother Broderick	布洛德里克修士（Brother Broderick）
monster:Brother Carl	卡爾修士（Brother Carl）
monster:Brother Darren	戴倫修士（Brother Darren）
monster:Brother David	大衛修士（Brother David）
monster:Brother Dick	迪克修士（Brother Dick）
monster:Brother Diego	迪耶戈修士（Brother Diego）
monster:Brother Dominic	多明尼克修士（Brother Dominic）
monster:Brother Donald	唐納修士（Brother Donald）
monster:Brother Donatello	多納太羅修士（Brother Donatello）
monster:Brother Frederick	腓特烈修士（Brother Frederick）
monster:Brother George	喬治修士（Brother George）
monster:Brother Goliath	歌利亞修士（Brother Goliath）
monster:Brother Greg	葛瑞格修士（Brother Greg）
monster:Brother Harold	哈洛修士（Brother Harold）
monster:Brother Harper	哈波修士（Brother Harper）
monster:Brother Jackson	傑克森修士（Brother Jackson）
monster:Brother James	詹姆斯修士（Brother James）
monster:Brother Joseph	約瑟修士（Brother Joseph）
monster:Brother Juaquin	華金修士（Brother Juaquin）
monster:Brother Jude	猶大修士（Brother Jude）
monster:Brother Kenneth	肯尼斯修士（Brother Kenneth）
monster:Brother Lucas	路加修士（Brother Lucas）
monster:Brother Mark	馬可修士（Brother Mark）
monster:Brother Matthew	馬太修士（Brother Matthew）
monster:Brother Nathan	納森修士（Brother Nathan）
monster:Brother Nobel	諾貝修士（Brother Nobel）
monster:Brother Nuris	努里斯修士（Brother Nuris）
monster:Brother Phillip	腓力修士（Brother Phillip）
monster:Brother Raphael	拉斐爾修士（Brother Raphael）
monster:Brother Richard	理查修士（Brother Richard）
monster:Brother Robert	羅伯修士（Brother Robert）
monster:Brother Thomas	多馬修士（Brother Thomas）
monster:Brother Weez	威茲修士（Brother Weez）
monster:Bum\x0A\x0As\x0A	流浪漢\x0A\x0A\x0A
monster:Bunn\x0Ay\x0Aies\x0A	兔女郎\x0A\x0A\x0A
monster:Carapaced Coyote\x0A\x0As\x0A	甲殼土狼\x0A\x0A\x0A
monster:Card Shark\x0A\x0As\x0A	賭牌老千\x0A\x0A\x0A
monster:Cardinal Chano	恰諾樞機（Cardinal Chano）
monster:Cardinal Scott	史考特樞機（Cardinal Scott）
monster:Casino Guard\x0A\x0As\x0A	賭場守衛\x0A\x0A\x0A
monster:Casino Thug\x0A\x0As\x0A	賭場打手\x0A\x0A\x0A
monster:Casino Worker\x0A\x0As\x0A	賭場員工\x0A\x0A\x0A
monster:Cave Critter\x0A\x0As\x0A	洞穴怪\x0A\x0A\x0A
monster:Centron\x0A\x0As\x0A	森特隆\x0A\x0A\x0A
monster:Centron Deluxe Model\x0A\x0As\x0A	森特隆豪華型\x0A\x0A\x0A
monster:Charmaine	夏曼（Charmaine）
monster:Chopter\x0A\x0As\x0A	斬擊獸\x0A\x0A\x0A
monster:Chubby Kid\x0A\x0As\x0A	胖小孩\x0A\x0A\x0A
monster:Citrine	西特林（Citrine）
monster:City Slicker\x0A\x0A\x0A	城市佬\x0A\x0A\x0A
monster:Clawer Leader\x0A\x0As\x0A	利爪首領\x0A\x0A\x0A
monster:Clawm\x0Aan\x0Aen\x0A	爪人\x0A\x0A\x0A
monster:Clerk\x0A\x0As\x0A	店員\x0A\x0A\x0A
monster:Combat Hacker\x0A\x0As\x0A	戰鬥駭客\x0A\x0A\x0A
monster:Covenant	柯芬南（Covenant）
monster:Coydog\x0A\x0As\x0A	狼狗\x0A\x0A\x0A
monster:Cutthroat\x0A\x0As\x0A	割喉客\x0A\x0A\x0A
monster:Cybertrike\x0A\x0As\x0A	電子三輪車\x0A\x0A\x0A
monster:Cyborg\x0A\x0As\x0A	生化人\x0A\x0A\x0A
monster:Cyborg Commando\x0A\x0As\x0A	生化突擊兵\x0A\x0A\x0A
monster:Cyclon\x0A\x0As\x0A	賽克隆\x0A\x0A\x0A
monster:Dark Viper\x0A\x0As\x0A	暗蝮蛇\x0A\x0A\x0A
monster:Death Angler\x0A\x0As\x0A	死亡釣手\x0A\x0A\x0A
monster:Deranged Farmer\x0A\x0As\x0A	瘋農夫\x0A\x0A\x0A
monster:Desert Dweller\x0A\x0As\x0A	沙漠居民\x0A\x0A\x0A
monster:Desert Lizard\x0A\x0As\x0A	沙漠蜥蜴\x0A\x0A\x0A
monster:Desert Nomad\x0A\x0As\x0A	沙漠遊牧民\x0A\x0A\x0A
monster:Desert Scav\x0A\x0As\x0A	沙漠拾荒者\x0A\x0A\x0A
monster:Desert Scum	沙漠惡棍
monster:Desert Tube\x0A\x0As\x0A	沙漠管蟲\x0A\x0A\x0A
monster:Deserter\x0A\x0As\x0A	逃兵\x0A\x0A\x0A
monster:Dewey\x0A\x0As\x0A	杜威（Dewey）\x0A\x0A\x0A
monster:Dire Coyote\x0A\x0As\x0A	恐怖土狼\x0A\x0A\x0A
monster:Doctor\x0A\x0As\x0A	醫生\x0A\x0A\x0A
monster:Dog\x0A\x0As\x0A	狗\x0A\x0A\x0A
monster:Drool\x0A\x0As\x0A	口水怪\x0A\x0A\x0A
monster:Drunk\x0A\x0As\x0A	醉漢\x0A\x0A\x0A
monster:Executioner\x0A\x0As\x0A	劊子手\x0A\x0A\x0A
monster:F	F
monster:Faran Brygo	法蘭布萊戈（Faran Brygo）
monster:Fat Freddy\x0A\x0As\x0A	胖佛萊迪（Fat Freddy）\x0A\x0A\x0A
monster:Felicia	費莉西亞（Felicia）
monster:Finster Dexter	芬斯特德克斯特（Finster Dexter）
monster:Finster Leviathan	芬斯特利維坦（Finster Leviathan）
monster:Finster Sinister	芬斯特辛尼斯特（Finster Sinister）
monster:Follower\x0A\x0As\x0A	信徒\x0A\x0A\x0A
monster:Fusion Octotron\x0A\x0As\x0A	融合八爪機\x0A\x0A\x0A
monster:Gambler	賭徒
monster:Gambler\x0A\x0As\x0A	賭徒\x0A\x0A\x0A
monster:Gauss Needle Projector\x0A\x0As\x0A	高斯針射器\x0A\x0A\x0A
