# game2 資源 18：科奇斯基地的環境測試設施與金庫門
#
# ⚠ 按鍵不翻：O／C。
#
# ⚠ 8／17／33／37 的原文少了動詞（`Do you want to with vault door #1?`），
# 是原版就有的瑕疵。中文用刪節號保留那個沒說完的感覺，
# 不補一個原文沒有的動詞進去。
blk:game2:18:1	\x0D一片巨大而推不動的鋼板擋住走廊。正中央是科奇斯基地的標誌。\x0D
blk:game2:18:2	\x0D你看見沾滿油的管線沿著房間延伸到一處岩架，那裡有某種控制板。管線底下是滾燙冒泡的油。看起來沒辦法所有人一次過去。\x0D
blk:game2:18:3	\x0D你踏出一步。\x0D
blk:game2:18:4	\x0D這根管子真滑。\x0D
blk:game2:18:5	\x0D你們全都失手，被油燙傷。\x0D
blk:game2:18:6	\x0D你滑進油裡，但勉強撐住了。\x0D
blk:game2:18:7	不知從哪裡冒出來\x0D
blk:game2:18:8	你要對 1 號金庫門……？\x0D\x0D\x11\x10O 開\x0D\x10C 關\x0D
blk:game2:18:9	O
blk:game2:18:10	C
blk:game2:18:11	\x0D這裡有一面控制板。\x0D
blk:game2:18:12	\x0D冰冷的鋼牆非常平滑。\x0D
blk:game2:18:13	\x0D這個房間相當單調，只有地板鋪著十呎見方的鋼板。\x0D
blk:game2:18:14	\x0D那些鋼板很滑。\x0D
blk:game2:18:15	\x0D你發現幾顆地雷。\x0D
blk:game2:18:16	\x0D你踩到一顆地雷，把它引爆了。\x0D
blk:game2:18:17	你要對 2 號金庫門……？\x0D\x0D\x11\x10O 開\x0D\x10C 關\x0D
blk:game2:18:18	\x0D你被一個小坑絆了一下。\x0D
blk:game2:18:19	那邊牆裡是什麼東西？\x0D
blk:game2:18:20	\x0D進入環境測試設施。\x0D
blk:game2:18:21	\x0D你聽見雷電。\x0D
blk:game2:18:22	\x0D滋！滋！\x0D
blk:game2:18:23	\x0D呼！好險。\x0D
blk:game2:18:24	\x0D你被打中，頭髮燒得焦脆。\x0D
blk:game2:18:25	\x0D這裡風很大。\x0D
blk:game2:18:26	\x0D呼——！呼——！\x0D
blk:game2:18:27	\x0D你的衣服差點被撕掉。\x0D
blk:game2:18:28	\x0D你被吹得站不住腳。\x0D
blk:game2:18:29	\x0D這裡非常冷。\x0D
blk:game2:18:30	\x0D冷！冷！\x0D
blk:game2:18:31	\x0D你身上那幾層脂肪替你擋住了冰冷的空氣。\x0D
blk:game2:18:32	\x0D冷到你開始凍傷。\x0D
blk:game2:18:33	你要對 3 號金庫門……？\x0D\x0D\x11\x10O 開\x0D\x10C 關\x0D
blk:game2:18:35	\x0D進入戰鬥模擬器。\x0D
blk:game2:18:36	\x0D別去撞那些障礙。\x0D
blk:game2:18:37	你要對 4 號金庫門……？\x0D\x0D\x11\x10O 開\x0D\x10C 關\x0D
blk:game2:18:38	\x0D這些牆燙得嚇人。\x0D
