# game1 資源 9：農業中心（巨大作物、菜農、兔害與地窖）
#
# ⚠ 玩家要按的鍵不翻：1–6／Y／N。
#
# 21 是全遊戲最誇張的一句頭韻文（pleasingly plump, perfectly prepared
# possibly, to plummet perilously... pummel... pasty, putrid, pulp）。
# 中文改用ㄆ音的疊聲重現那個誇飾的語氣，不要翻成平鋪直敘的句子。
blk:game1:9:1	1
blk:game1:9:2	2
blk:game1:9:3	3
blk:game1:9:4	4
blk:game1:9:5	5
blk:game1:9:6	6
blk:game1:9:7	\x0D一道厚重的木門，加了鋼板補強，擺明了不讓你打開。\x0D
blk:game1:9:9	\x0D你在門上刮出幾道痕，它還是不理你。\x0D
blk:game1:9:10	\x0D這裡好像有一具屍體。\x0D
blk:game1:9:11	\x0D這裡立著一道土磚砌的高牆，上面有好幾處焦黑的燒痕。牆頂拉著有刺鐵絲。\x0D
blk:game1:9:12	\x0D牆頂上有一具沒人操作的火焰噴射器。\x0D
blk:game1:9:13	\x0D這一段的牆是一整片加熱線圈拼成的。\x0D
blk:game1:9:14	\x0D一具大型衛星追蹤碟形天線，朝向北方。白色的金屬支架與面板亮得像新的一樣。\x0D
blk:game1:9:15	\x0D這是販賣亭的鋁製外牆。\x0D
blk:game1:9:16	\x0D一面鋼牆，正中央有一道門的淡淡輪廓。一塊字跡粗糙的牌子寫著：地窖。\x0D
blk:game1:9:17	\x0D高大的樹上結滿籃球那麼大的柳橙和檸檬。空氣裡濃濃的柑橘味。\x0D
blk:game1:9:18	\x0D樹上爆滿五呎寬的葡萄柚。\x0D
blk:game1:9:19	\x0D十呎長的香蕉。當地人把曬硬的香蕉皮當獨木舟在河上划。\x0D
blk:game1:9:20	\x0D毛特別多的水蜜桃，比正常的大上許多。\x0D
blk:game1:9:21	\x0D四呎高的梨子，胖得漂亮，說不定是專程備妥，準備從那搖搖欲墜的枝頭啪地砰然墜落，把任何路過的行人拍扁成一攤破爛發臭的肉泥。\x0D
blk:game1:9:22	\x07農業站雜貨店。\x0D
blk:game1:9:23	\x0D幾百顆六呎高的草莓包圍著你。\x0D
blk:game1:9:24	\x0D三呎高的葡萄好像到處都是。\x0D
blk:game1:9:25	\x0D巨大的番茄，但願不是會殺人的那種。\x0D
blk:game1:9:26	\x0D大豆子。\x0D
blk:game1:9:27	\x0D小麥。很多小麥。\x0D
blk:game1:9:28	\x0D八呎高的玉米穗。\x0D
blk:game1:9:29	\x0D經濟大包裝的鳳梨，十五呎高。\x0D
blk:game1:9:30	\x0D你走進一片綠色的紅杉花椰菜森林。三十呎高的菜莖聳立在你這副渺小的人類身軀上方。\x0D
blk:game1:9:31	\x0D保齡球那麼大的豌豆躺在地上的豆莢裡。\x0D
blk:game1:9:32	\x0D馬鈴薯。剛翻出土的馬鈴薯用它們的芽眼看著你。\x0D
blk:game1:9:33	\x0D這裡躺著胡蘿蔔。十五呎高，長耳害獸的目標。\x0D
blk:game1:9:34	\x0D販賣亭外面，十個拿著斧頭、鋤頭、耙子和鏟子的男人絕望地搖著頭。\x0D
blk:game1:9:35	\x0D一具瞄準北牆的投石機。\x0D
blk:game1:9:36	\x0D一具瞄準南牆的投石機。\x0D
blk:game1:9:37	\x0D老人點點頭，領你們到菜農中心——菜農們的共同住所——然後笑著離開。\x0D
blk:game1:9:38	\x0D販賣亭今天因為害獸攻擊而歇業。\x0D
blk:game1:9:39	\x0D請看第 56 段。\x0D
blk:game1:9:40	\x0D進入農業站雜貨店。\x0D
blk:game1:9:41	你要說什麼？\x0D\x0D\x11\x101) 主動幫忙\x0D\x102) 問報酬\x0D\x103) 只是路過\x0D
blk:game1:9:42	\x0D米格爾一臉不悅，點了點頭走開。其他人似乎也懂你們的猶豫。\x0D
blk:game1:9:43	\x0D你眼角一瞄，及時低頭閃過一個小男孩丟來的巨大番茄。\x0D
blk:game1:9:44	\x0D你眼角一瞄，及時轉身，用額頭擋下一顆石頭。米格爾對著一個小男孩大吼。\x0D
blk:game1:9:45	你要報仇嗎（Y／N）？\x0D\x0D\x11\x10Y 是\x0D\x10N 否\x0D
blk:game1:9:46	\x0D米格爾很高興。其他農民笑著向你們道謝，領你們到菜田去。\x0D
blk:game1:9:47	\x0D你沿著一條漆黑的隧道往下走。\x0D
blk:game1:9:48	\x0D報酬？那些農民面面相覷，然後在口袋裡翻了半天，掏出幾片彩色玻璃和幾塊亮晶晶的鋁片給你們。看到你們一臉困惑，米格爾說他們還會給糧食。\x0D
blk:game1:9:49	\x0D你伸手去拿武器。那群人往後退開。你注意到有一具火焰噴射器正對著你。你改變了主意。\x0D
blk:game1:9:50	\x0D請看第 84 段。\x0D
blk:game1:9:51	\x0D一個高大的農夫在這片胡蘿蔔田的綠葉間走動。察覺你們靠近，他停下腳步，用那雙不祥的眼睛盯著你們，眼裡滿是對你們這種人的憎恨。這就是兔王哈利。\x0D
blk:game1:9:52	\x0D老人很高興看到你們殺了哈利。他的死會瓦解其餘害獸的鬥志。他們要為你們宣布一個節日。附近的農民歡呼起來。屠殺那些可愛的小動物，救回了他們主要的糧食來源。\x0D
blk:game1:9:53	老人問：「你們要看看我的地窖嗎？」\x0D\x0D\x11\x10Y 是\x0D\x10N 否\x0D
blk:game1:9:54	\x0D你聽見頭頂上傳來咻的一聲，而且越來越響。\x0D
blk:game1:9:55	\x0D一顆巨大的爛番茄砸在地上炸開，汁液噴了你一身，你勉強跳開才沒被砸中。\x0D
blk:game1:9:56	你一抬頭，正好看見一顆巨大的爛番茄砸到你頭上。現在你躺在一灘番茄汁裡。\x0D
blk:game1:9:57	\x0D你往旁邊一躍，勉強閃過一顆巨大的鳳梨——它深深砸進你剛才站的地方。\x0D
blk:game1:9:58	你一抬頭，一張巨大的香蕉皮就把你摑倒在地。\x0D
blk:game1:9:59	一團團披著甲、長著長耳、粉白相間的毛球在這裡蹦蹦跳跳。一整排粉紅色的眼睛在你面前冒了出來。\x0D
blk:game1:9:60	許多洞口，四周的土被踩得結實。一個披甲的褐毛哨兵發現你們，吠出警報。\x0D
blk:game1:9:62	你們一靠近，負鼠就集結成群，搖搖擺擺地朝你們過來。\x0D
blk:game1:9:63	你敏銳的感官察覺到有個白色的大東西在濃密的麥稈間移動！\x0D
blk:game1:9:64	你看見幾大塊像是地面的東西朝你們跳過來。\x0D
blk:game1:9:65	田裡有東西動了一下。\x0D
blk:game1:9:66	你看見一個高大的男人。\x0D
blk:game1:9:67	Y
blk:game1:9:68	N
