# game2 資源 22：達爾文計畫基地（芬斯特的辦公室、心靈連結機、電梯）
#
# ⚠ 密語與電梯按鍵不翻：PROTEUS／U／G／L。
#
# 15–19 是執行期串起來的句子：「你在」＋ 樓層 ＋「層。」
# 原文那三個樓層字串各只有六七格，中文只放得下一兩個字。
blk:game2:22:1	\x0D一道有插槽的鈦門擋住你們。\x0D
blk:game2:22:4	\x0D一道鋼製陽台擋住你們。外面是芬斯特那個把地球改造過的瘋狂願景。\x0D
blk:game2:22:5	電梯控制：\x0D\x0D\x11\x10U 上層\x0D\x10G 地面層\x0D
blk:game2:22:6	U
blk:game2:22:7	\x0D這些鋼牆看起來很舊。\x0D
blk:game2:22:8	\x0D牆上掛滿了一百年前的照片。\x0D
blk:game2:22:9	\x0D芬斯特的辦公室裡掛著許多畫。\x0D
blk:game2:22:10	\x0D門口四周的牆被火燒得焦黑。\x0D
blk:game2:22:11	\x0D一道壞掉的門躺在這裡。\x0D
blk:game2:22:12	\x0D開著的門。\x0D
blk:game2:22:13	G
blk:game2:22:14	L
blk:game2:22:15	地面
blk:game2:22:16	上
blk:game2:22:17	下
blk:game2:22:18	\x0D你在
blk:game2:22:19	層。\x0D
blk:game2:22:20	一個鍵盤彈了出來：「請輸入保安碼。」\x0D
blk:game2:22:21	PROTEUS
blk:game2:22:22	存取遭拒。\x0D
blk:game2:22:23	\x0D這道門是鋼條做的。\x0D
blk:game2:22:24	\x0D一個囚犯跑出來大喊：「芬斯特是個沒有心的機器人。我們敢逃他就會殺了我們！」\x0D
blk:game2:22:25	\x0D你們走進芬斯特的辦公室。他起身迎接你們。請看第 14 段。然後他就離開了。\x0D
blk:game2:22:26	「不！」芬斯特大喊。「你們這些多管閒事的！你們把他們放了。」\x0D
blk:game2:22:27	\x0D一片紅色岩石的斜坡，爬起來很吃力。\x0D
blk:game2:22:28	\x0D你爬上去了。\x0D
blk:game2:22:29	\x0D你滑了一下。\x0D
blk:game2:22:30	\x0D一面陡峭的崖壁擋住你們。\x0D
blk:game2:22:31	\x0D一塊巨石擋住你們的路。\x0D
blk:game2:22:32	\x0D一棵枯樹擋住你們。\x0D
blk:game2:22:33	\x0D一道鋼門擋住你們。\x0D
blk:game2:22:34	\x0D一道鋼門滑開。\x0D
blk:game2:22:35	\x0D一道鋼門在你們身後滑上。\x0D
blk:game2:22:36	埋伏！敵人從四面八方冒出來！\x0D
blk:game2:22:37	一個孵育主宰旋身撲向你們。\x0D
blk:game2:22:38	\x0D地板上有一個關著的小艙蓋。\x0D
blk:game2:22:39	\x0D那個艙蓋被封死了。\x0D
blk:game2:22:40	\x0D你們一打開艙蓋，變種人就攻了上來。\x0D
blk:game2:22:41	\x0D它冒著火花和煙，把自己炸成了碎片。\x0D
blk:game2:22:42	\x0D地板上有一個開著的艙蓋。\x0D
blk:game2:22:43	\x0D這裡只容得下一個人。\x0D
blk:game2:22:44	\x0D別站到桌上！\x0D
blk:game2:22:45	\x0D看樣子可以用一顆機器人的頭連上這台心靈連結機。\x0D
blk:game2:22:46	\x0D那顆機器人的頭裝上去剛好，機器開了。你戴上了那頂電子頭盔。\x0D
blk:game2:22:47	\x0D你必須用一顆機器人的頭才能連上這台機器。\x0D
blk:game2:22:48	\x0D你放空思緒，在腦中浮現一個紅藍相間的圖樣。\x0D
blk:game2:22:49	\x0D你對改造人的了解不足以連上那顆機器人的腦。你把自己解了下來。\x0D
blk:game2:22:50	\x0D\x0D真實世界從你眼前淡去。\x0D
blk:game2:22:51	\x0D這些是堅固的岩壁。\x0D
blk:game2:22:52	\x0D看起來沒有人住在這裡。\x0D
blk:game2:22:53	\x0D這間餐廳很乾淨。\x0D
blk:game2:22:54	\x0D這間廚房從來沒有用過。\x0D
blk:game2:22:55	\x0D你看見一台機器，上面有一顆機器人的頭和一頂電子頭盔。\x0D
blk:game2:22:56	\x0D你被綁著，動不了。\x0D
blk:game2:22:57	\x0D你替自己和隊友鬆了綁。\x0D
blk:game2:22:58	\x0D你看見隊友被綁著，把他們放了。\x0D
blk:game2:22:59	電梯控制：\x0D\x0D\x11\x10U 上層\x0D\x10G 地面層\x0D\x10L 下層\x0D
blk:game2:22:60	\x0D高高的上方有一座構不到的陽台。\x0D
