# game2 資源 20：科奇斯基地的機器人工廠與反應爐區
#
# ⚠ 玩家要按的鍵不翻：G／R／1／2／3／4／B／Y。
# 12（控制板四色燈）的選項用 `\x10R 紅` 這種寫法——`\x10` 後面那個字母
# 同時是點擊該列送出的鍵，翻掉滑鼠與鍵盤都會壞（docs/re/43）。
#
# 17／18、82–89、95／96 是執行期串起來的碎片（「Station 」＋ 數字 ＋
# 「 activated. 」），順序由程式決定，只能照原位翻。
blk:game2:20:1	\x0D一個機器人從你面前的地板升起，開始跟你扭打。\x0D
blk:game2:20:2	\x0D你高超的鬥毆技巧打倒了那個機器人。\x0D
blk:game2:20:3	那個機器人把你推開並反擊。\x0D
blk:game2:20:4	\x0D這是一根三呎高的黑色圓柱，側面有一道細縫。\x0D
blk:game2:20:5	\x0D你不是可維修的機器人。滾下去。\x0D
blk:game2:20:6	\x0D輸送帶沒在運轉。\x0D
blk:game2:20:7	\x0D這是一根黃色圓柱，頂端有一道細縫。\x0D
blk:game2:20:8	\x0D逃生艙已啟動。正在準備下一具。\x0D
blk:game2:20:9	\x0D這是一根泛著微光的紫白色圓柱。朝著你這一面有一道黑色細縫。\x0D
blk:game2:20:10	\x0D這根圓柱散發藍白色的光。在那光裡你看得見牆上有一道小細縫。\x0D
blk:game2:20:11	\x0D警報！自毀程序已啟動。全體人員撤離基地。這不是演習。\x0D
blk:game2:20:12	你面前有一面小控制板，四盞燈不按順序閃著。\x0D\x0D\x11\x10R 紅。\x0D\x10Y 黃。\x0D\x10G 綠。\x0D\x10B 藍。\x0D
blk:game2:20:13	G
blk:game2:20:14	R
blk:game2:20:15	\x0D去路被一道厚重的鈦鋼門擋著。正中央有一個插卡孔。\x0D
blk:game2:20:16	\x0D你身上的凹痕正一個個被敲平。\x0D
blk:game2:20:17	\x07螢幕上是一個倒數的時鐘。它顯示
blk:game2:20:18	。\x0D\x06
blk:game2:20:19	\x0D你面前是反應爐核心的主電源盤。它好像少了一個零件，沒有作用。\x0D
blk:game2:20:20	\x0D面板上看不出有任何變化，但遠處傳來低沉的隆隆聲。\x0D
blk:game2:20:21	\x0D你運氣不錯，及時滑了出來。\x0D
blk:game2:20:22	\x0D這些牆是用一種發亮的堅不可摧合金做的。\x0D
blk:game2:20:23	\x0D「各站供電完成，」一個宏亮的電腦聲音宣布。\x0D
blk:game2:20:24	\x0D自毀無法逆轉！本站即將引爆！你聽見背後傳來好幾聲爆炸。\x0D
blk:game2:20:25	\x0D一道力場擋住了你。\x0D
blk:game2:20:26	\x0D這道門比看起來難開。\x0D
blk:game2:20:27	\x0D你面前的牆上有兩個帶字的箭頭。從這裡看不清楚寫什麼。\x0D
blk:game2:20:28	\x0D牆上一塊箭形牌子指向右邊。上面寫著「反應爐核心室」。\x0D
blk:game2:20:29	\x0D牆上的箭頭指出勞安室在左邊。\x0D
blk:game2:20:30	\x0D刻在牆上的箭頭指出機器人維修室在左邊。\x0D
blk:game2:20:31	\x0D牆上一塊霓虹燈牌指向右邊，拼出「保安電子」四個字。\x0D
blk:game2:20:32	\x0D一個箭頭指向左邊，寫著「這邊走」。\x0D
blk:game2:20:33	\x0D一個箭頭指向右邊，寫著「那邊走」。\x0D
blk:game2:20:34	\x0D一塊牌子指向右邊：出口這邊走。\x0D
blk:game2:20:35	\x0D牌子指向左邊，寫著：另一個出口。\x0D
blk:game2:20:36	\x0D你面前是一整面從地板到天花板的玻璃鋼牆。牆後就是反應爐控制台。\x0D
blk:game2:20:37	\x0D那面牆碎成上千片！你運氣好，一點傷都沒有。\x0D
blk:game2:20:38	\x0D這一段沒有在運作。\x0D
blk:game2:20:40	一個保安機器人從暗門裡衝出來攻擊你。\x0D
blk:game2:20:41	這個保安機器人不喜歡你到處亂看。\x0D
blk:game2:20:42	保安機器人正從牆裡爬出來。\x0D
blk:game2:20:43	那個巨型機器人高得頂到天花板。你想過去就得先解決它。\x0D
blk:game2:20:44	\x0D鎖螺栓的機具抓住了你。\x0D
blk:game2:20:45	\x0D你面前的地板緩緩打開，一個巨型機器人升上來擋住去路。\x0D
blk:game2:20:46	\x0D你抓住頭頂的橫桿，盪離了輸送帶。\x0D
blk:game2:20:47	\x0D你被焊接機的高溫與火焰包圍。\x0D
blk:game2:20:48	\x0D糟了！你被機具抓住，拖上了輸送帶。\x0D
blk:game2:20:49	\x0D糟糕！維修機具把你當成機器人，把你放上了輸送帶。\x0D
blk:game2:20:50	\x0D這一段的輸送帶機構非常精密。\x0D
blk:game2:20:51	\x0D輸送帶發出像是要把自己絞碎的聲音，然後停了下來。\x0D
blk:game2:20:52	\x0D你想卡住輸送帶，結果被機具抓住拖了上去。\x0D
blk:game2:20:53	\x0D面板上有十一塊燈板，其中幾塊亮著。\x0D
blk:game2:20:54	\x0D其中一塊燈板熄了。\x0D
blk:game2:20:55	\x0D又有一塊燈板亮了。\x0D
blk:game2:20:56	\x0D螢幕上的訊息寫著：保安巡檢間隔。\x0D
blk:game2:20:57	\x0D螢幕顯示：間隔已縮短。\x0D
blk:game2:20:58	\x0D螢幕顯示：間隔已加長。\x0D
blk:game2:20:59	\x0D你看到一個灰色橢圓形，上面有五塊燈板。\x0D
blk:game2:20:60	\x0D燈現在熄了。\x0D
blk:game2:20:61	\x0D燈亮著。\x0D
blk:game2:20:62	\x0D小字寫著：圓柱封閉系統。\x0D
blk:game2:20:63	\x0D你看到一個正方形，四個角都亮著。\x0D
blk:game2:20:64	\x0D四個角都亮著。\x0D
blk:game2:20:65	\x0D四個角現在都暗了。\x0D
blk:game2:20:66	\x0D門的碎片散得到處都是。\x0D
blk:game2:20:67	\x0D這道門被撞倒靠在牆上。\x0D
blk:game2:20:68	\x0D玻璃碎片在腳下嘎吱作響。\x0D
blk:game2:20:69	\x0D地板上有一個打開的鈾 235 容器。\x0D
blk:game2:20:70	\x0D地板上鋪滿了鈽粉塵。\x0D
blk:game2:20:71	\x0D這裡有一堆荒野鈾發著強光。\x0D
blk:game2:20:72	\x0D請看第 47 段。\x0D
blk:game2:20:73	\x0D請看第 79 段。\x0D
blk:game2:20:74	\x0D請看第 130 段。\x0D
blk:game2:20:75	\x0D請看第 118 段。\x0D
blk:game2:20:76	\x0D除非是超級天才，否則沒有人看得懂這台機器怎麼運作。\x0D
blk:game2:20:77	\x0D這是一座高高的金屬長方體，上面全是照明設備。\x0D
blk:game2:20:78	\x0D這套電子系統由許多燈與線路組成。\x0D
blk:game2:20:79	\x0D你聽見背後傳來好幾聲爆炸。\x0D
blk:game2:20:80	\x0D你感覺到爆炸震得地面搖晃。\x0D
blk:game2:20:81	\x0D這面控制板短路了，正在冒煙。\x0D
blk:game2:20:82	\x0D第
blk:game2:20:83	 站已啟動。
blk:game2:20:84	1
blk:game2:20:85	2
blk:game2:20:86	3
blk:game2:20:87	4
blk:game2:20:88	\x0D等待最後一站鎖定。\x0D
blk:game2:20:89	\x0D
blk:game2:20:90	按下按鈕以啟動安全程序 #1342-666。\x0D
blk:game2:20:91	\x0D「安全程序 #1342-666 已啟動。」你聽見嘶嘶聲，接著是一記巨響。你回頭一看，發現身後的面板已經封死了。\x0D
blk:game2:20:92	B
blk:game2:20:93	Y
blk:game2:20:94	\x0D「啟動序列錯誤。程序中止。」你聽見嘶嘶聲，身後的面板打開了。\x0D
blk:game2:20:95	\x0D階段
blk:game2:20:96	 繼續執行程序。\x0D
