# game2 資源 23：芬斯特的意識（Project Darwin 的最後對決）
#
# ⚠ 玩家要輸入的答案一律不翻：512／32／20／0／ZERO／NOTHING／ICEBERG／
# NEW YORK YANKEES／FINSTER／IRWIN FINSTER／IRWIN J FINSTER／IRWIN J. FINSTER／
# IRWIN JOHN FINSTER。數列題目（`2, 4, 8, 16, ?`）也照原樣保留。
#
# 這一段大量引用 1930 年代美國職棒（Christy Matthews、Joe McCarthy、
# Lou Gehrig、1936 年世界大賽）。人名與隊名譯出來會讓玩家答不出
# NEW YORK YANKEES，所以**題目裡的隊名保留原文**，敘述裡的人名照翻。
blk:game2:23:1	512
blk:game2:23:2	2, 4, 8, 16, ?\x0D
blk:game2:23:3	32
blk:game2:23:4	\x0D三——振——出——局。\x0D
blk:game2:23:5	\x0D路開了。\x0D
blk:game2:23:6	\x0D達爾文計畫研究並製造變種生物，為的是……\x0D
blk:game2:23:7	\x0D……讓這個破碎的世界重新適合所有生命。\x0D
blk:game2:23:8	\x0D由厄文·約翰·芬斯特領導的研究人員，創造出了能適應這個世界的生命。\x0D
blk:game2:23:9	\x0D達爾文的實驗室只生產有用的生命。\x0D
blk:game2:23:10	\x0D達爾文是核戰之後由憂心的科學家們建立的。它是這個世界的救贖。\x0D
blk:game2:23:11	4, 2, 8, 4, 32, 16, ?\x0D
blk:game2:23:12	\x0D單元 2：學術資料\x0D
blk:game2:23:13	\x0D你想用懦夫的方式脫身嗎？\x0D
blk:game2:23:14	\x0D單元 1：一般資訊\x0D
blk:game2:23:15	\x0D這是簡單的算術，你不需要幫忙。\x0D
blk:game2:23:16	\x0D「啊啊啊！」芬斯特憤怒地尖叫，「以後你別想再這樣躲過我的陷阱。」\x0D
blk:game2:23:17	\x0D達爾文計畫一向把研究與教育放在最高的位置。\x0D
blk:game2:23:18	\x0D要不是達爾文的工作性質必須保密，這裡的人員早就拿下遺傳學的諾貝爾獎了。\x0D
blk:game2:23:19	\x0D我們最自豪的是訓練出來的學生。每一個都覺得達爾文的經歷改變了他們。\x0D
blk:game2:23:20	\x0D一隻鴨子的差別是什麼？\x0D
blk:game2:23:21	\x0D單手拍掌是什麼聲音？\x0D
blk:game2:23:22	\x0D我思故我在。\x0D
blk:game2:23:23	\x0D一的聯集是什麼？\x0D
blk:game2:23:24	\x0D「糖、香料，以及一切惡性的東西。」\x0D
blk:game2:23:25	\x0D從出生起的每一步都是走向死亡。\x0D
blk:game2:23:26	\x0D你有被害妄想，不代表他們沒有真的在追殺你。\x0D
blk:game2:23:27	\x0D認識你自己。\x0D
blk:game2:23:28	\x0D嘶嘶作響的虹彩光球在你身邊旋轉、撕扯著你。你無法再前進。\x0D
blk:game2:23:29	\x0D你覺得身體的能量被抽得一乾二淨，再也動不了。\x0D
blk:game2:23:30	\x0D「你在這裡做什麼？我已經死了，不是嗎？我死了，你怎麼會在我的意識裡？一定是我在你的意識裡。我在你的意識裡。還有他。他是你很久以前記得的一個朋友。他潛伏在你的床底下。」\x0D
blk:game2:23:31	\x0D你看到前方有塊路標，上面寫著：「危險！沒有準備的遊俠活不下來。」\x0D
blk:game2:23:32	\x0D「很嚇人的畜生吧？而且那時候你也從來殺不死他，不是嗎？」\x0D
blk:game2:23:33	4, 6, 8, 12, ?\x0D
blk:game2:23:34	\x0D「呸！我懶得理你了。滾！」\x0D
blk:game2:23:35	\x0D「錯！正確答案是 20。」\x0D
blk:game2:23:36	20
blk:game2:23:37	\x0D「你作弊，哈、哈、哈！別在我的意識裡耍花招。」\x0D
blk:game2:23:38	\x0D「不公平，那是界外。」\x0D
blk:game2:23:39	「你還在這裡？這是私人領域。只有我可以再往前。」\x0D
blk:game2:23:40	\x0D「你不會以為這會這麼簡單吧？」\x0D
blk:game2:23:41	FINSTER
