# game1 資源 2：石英城的史考特酒吧（Scott's Bar）
#
# ⚠ 全大寫的詞與密語**不翻**（A–F／Y／N／UGLY／GANG／MAYOR／RIDDLES／RIDDLER／
# COURTHOUSE／CHAT／DANCER／DRINK／BYE／GOODBYE／THANKS／THANK YOU／TOAST／
# R／LETTER R／THE LETTER R／URABUTLN）——那些是玩家要輸入或選取的詞。
# 選項字串（`\x10A) …`）裡的字母也要留著，那是玩家按的鍵。
blk:game1:2:1	\x0D這桌坐滿了，那些人不理你。你得坐別的地方。\x0D
blk:game1:2:2	\x0D這桌是空的。坐吧。\x0D
blk:game1:2:3	\x0D你看到桌上刻著塗鴉，寫著：
blk:game1:2:4	\x0D啊！你解決了生理需求，舒服多了。\x0D
blk:game1:2:5	\x0D這裡的塗鴉寫著：「去後面角落找碎顱者。」\x0D
blk:game1:2:6	\x0D這道門上畫著一個男人。\x0D
blk:game1:2:7	\x0D一個走出來的男人對你們之中的女性投來怪異的眼神。\x0D
blk:game1:2:8	\x0D門上畫著一個女人。\x0D
blk:game1:2:9	\x0D你擠了進去，肩膀被撞了一下。「推之前先看清楚，小子！」\x0D
blk:game1:2:10	你要？\x0D\x0D\x11\x10A) 推回去\x0D\x10B) 道歉退開\x0D\x10C) 不理他\x0D\x10D) 說「冷靜點」\x0D
blk:game1:2:11	A
blk:game1:2:12	B
blk:game1:2:13	C
blk:game1:2:14	D
blk:game1:2:15	E
blk:game1:2:16	F
blk:game1:2:17	\x0D
blk:game1:2:18	\x0D酒保擦掉灑出來的酒。「你好啊，遊俠！我叫史考特，這是我的店。」\x0D
blk:game1:2:19	阿醜幫的成員撲向你。黃牙咧開的獰笑扭曲了他們本就變形的臉。\x0D
blk:game1:2:20	\x0D那群打手竊笑著把你踢了出去。\x0D
blk:game1:2:21	\x0D你注意到打手們正把拳頭往後拉準備偷襲，閃開了。現在他們看起來很不爽。\x0D
blk:game1:2:22	\x0D你挨了幾記偷襲。你轉過身，他們看起來凶得很。\x0D
blk:game1:2:23	\x0D你怒目瞪回去，打手們嘀咕幾句，走開了。\x0D
blk:game1:2:24	\x0D你站在一座矮舞台旁邊。\x0D
blk:game1:2:25	\x0D「你這帥小子！」一個舞者眨眨眼勾勾手指，邀你上台！\x0D
blk:game1:2:26	\x0D你一踏上舞台，幾個舞者尖叫著跑開。\x0D
