# game2 資源 19：科奇斯基地的機器人生產線
#
# ⚠ 玩家要輸入的關鍵字與按鍵不翻：RUN／A–C／E／R。
# 32 的 `E)xtend`／`R)etract` 是把熱鍵字母包在單字裡的寫法，中文拆成
# 「E) 伸出」「R) 收回」——字母仍在最前面（`docs/re/43`）。
#
# `Vax` 保留原文：那是迪吉多 VAX 電腦的名字，配上《星際大戰》C-3PO 的
# 自我介紹台詞（「負責人機關係」），兩個梗都靠原名才成立。
blk:game2:19:1	\x0D一道鈦條做的門擋住去路。科奇斯基地的徽章底下有一把實體鎖。\x0D
blk:game2:19:4	\x0D一道造型俐落的金屬柵門讓你們靠不近一台電腦主機。那把鎖相當弱也相當簡單。\x0D
blk:game2:19:5	一台小螢幕上，「Break in program」幾個字一閃一閃。\x0D
blk:game2:19:6	RUN
blk:game2:19:7	\x0D這些厚金屬牆上有很多機器人肢體刮出來的痕跡，但看起來還是相當堅固。\x0D
blk:game2:19:8	\x0D銀色的鈦牆包圍著你們，感覺像正在慢慢朝你們擠過來。\x0D
blk:game2:19:9	\x0D這些牆雖然還很堅固，卻看得出雷射灼燒與其他戰鬥留下的痕跡。\x0D
blk:game2:19:10	\x0D一片片半熔的鈦金屬碎塊，焊死在曾經可能是門框的東西上。\x0D
blk:game2:19:11	\x0D扭曲壓爛的門條被砸得平貼在牆上。\x0D
blk:game2:19:12	機器人不太喜歡人類（拿來當靶練習的時候例外）。\x0D
blk:game2:19:13	\x0D這裡的牆上嵌著一面保安監視板。\x0D
blk:game2:19:14	\x0D你成功把它破壞到再也派不上任何用場。\x0D
blk:game2:19:15	\x0D你破壞它的力道不夠，沒有成功。\x0D
blk:game2:19:16	\x0D你們在裡面找到一台指令主機。鍵盤鎖著，螢幕顯示裡面是一具完成度 99% 的機器人。\x0D
blk:game2:19:17	\x0D你把那台指令主機徹底摧毀，機器就此停擺。\x0D
blk:game2:19:18	\x0D這一次你沒能摧毀那台機器。\x0D
blk:game2:19:19	\x0D科奇斯基地的徽章印在側面，底下印著：機器人自動組裝站。\x0D
blk:game2:19:20	\x0D這座機器人組裝站的末端很燙！它有兩道大到吐得出一具奧克托創的門！\x0D
blk:game2:19:21	\x0D這具機組上的字樣寫著：機器人程式修改站。\x0D
blk:game2:19:22	選擇智能模式：\x0D\x0D\x11\x10A) 獵捕\x0D\x10B) 獵殺\x0D\x10C) 管理\x0D
blk:game2:19:23	A
blk:game2:19:24	B
blk:game2:19:25	C
blk:game2:19:26	\x0D？ 語法錯誤\x0D
blk:game2:19:27	那個艙的後段在一團煙霧中打開。灰色的蒸氣散去，一具機器人筆直站在那裡。\x0D
blk:game2:19:28	\x0D一股熱浪掃過你們，地面泛起波動。\x0D
blk:game2:19:29	\x0D你的眼睛流出淚水，耳朵裡滿是嗡鳴。\x0D
blk:game2:19:30	\x0D你全身像隨時會燒起來，皮膚癢得厲害。\x0D
blk:game2:19:31	雙管氙融合雷射對準你們，射出一道道紫色的能量束！\x0D
blk:game2:19:32	橋樑控制\x0D\x0D\x11\x10E) 伸出\x0D\x10R) 收回\x0D
blk:game2:19:33	\x0D一座橋跨在放射性廢料堆上方。中段是收起來的，控制台在廢料的另一頭。\x0D
blk:game2:19:34	\x0D橋已經在那個位置了。\x0D
blk:game2:19:35	\x0D橋緩緩伸出，鎖定在定位。\x0D
blk:game2:19:36	\x0D橋從中間分開，各自鎖定在兩側。\x0D
blk:game2:19:37	\x0D你們從滑道掉出來，發現自己身在一個看起來像保安整備區的大房間裡。\x0D
blk:game2:19:38	\x0D你們站在一座往下的梯子上。\x0D
blk:game2:19:39	\x0D進入一道單向的力場。\x0D
blk:game2:19:40	你們腳下的地板炸開，你們落入一隻銀色絞殺者的掌握。\x0D
blk:game2:19:41	奧克托創從牆板裡滑了出來！這些武裝機器人是難纏的對手！\x0D
blk:game2:19:42	奧克托創——八隻手臂、閃著金屬光澤的戰士——全都轉向你們。\x0D
blk:game2:19:43	\x0D「嗨。我叫 Vax，負責人機關係。」\x0D
blk:game2:19:44	E
blk:game2:19:45	R
