# 表 5：階級（1–50）與表 8：疾病（1–8）
# 譯名以 translations/glossary.md 為準
exe:5:1	二等兵
exe:5:2	一等兵
exe:5:3	專業兵
exe:5:4	資深專業兵
exe:5:5	下士
exe:5:6	代理下士
exe:5:7	指揮下士
exe:5:8	擲彈兵
exe:5:9	火力擲彈兵
exe:5:10	擲彈兵長
exe:5:11	擲彈兵首席
exe:5:12	中士
exe:5:13	技術中士
exe:5:14	一等士官長
exe:5:15	士官長
exe:5:16	銀星中士
exe:5:17	學員
exe:5:18	專業學員
exe:5:19	戰鬥學員
exe:5:20	指揮學員
exe:5:21	中尉
exe:5:22	一級中尉
exe:5:23	火力小隊中尉
exe:5:24	二級中尉
exe:5:25	銀星中尉
exe:5:26	上尉
exe:5:27	戰鬥上尉
exe:5:28	技術上尉
exe:5:29	指揮上尉
exe:5:30	銀星上尉
exe:5:31	少校
exe:5:32	火力小隊少校
exe:5:33	專業少校
exe:5:34	技術少校
exe:5:35	銀星少校
exe:5:36	代理上校
exe:5:37	中校
exe:5:38	火力小隊上校
exe:5:39	師級上校
exe:5:40	銀星上校
exe:5:41	代理指揮官
exe:5:42	副指揮官
exe:5:43	指揮官
exe:5:44	技術指揮官
exe:5:45	部隊指揮官
exe:5:46	准將
exe:5:47	中將
exe:5:48	少將
exe:5:49	技術將軍
exe:5:50	銀星將軍
exe:8:1	輻射中毒
exe:8:2	荒野皰疹
exe:8:3	蟲咬
exe:8:4	下水道腐病
exe:8:5	沙漠塵肺
exe:8:6	狂犬病
exe:8:7	D6
exe:8:8	D7
