# game2 資源 17：科奇斯基地的內部與那台電腦
#
# ⚠ 玩家要輸入的關鍵字不翻：FINSTER／MISSION／CHAT／BASE COCHISE／BREAK。
#
# 那台電腦是全遊戲的最終對手，說話的語氣要維持高高在上、不帶感情；
# 31–48 是它的對話，中文不要加語助詞。
blk:game2:17:1	\x0D整面牆嵌滿矽晶片，泛著黑色的微光，構成全世界最大的平行處理電腦。\x0D
blk:game2:17:2	\x0D越過那道窄縫，你看見一整面由電腦晶片組成的牆。相當壯觀。你右邊是一台電腦終端機。\x0D
blk:game2:17:3	\x0D你上方的欄杆壞了，只要有辦法上得去就能翻過。\x0D
blk:game2:17:4	\x0D一道擦得光亮、絲毫沒有失修跡象的鋼製欄杆擋住了去路。\x0D
blk:game2:17:5	\x0D一條繩子從上面垂下來。\x0D
blk:game2:17:6	\x0D你一手接一手順利爬了上去，回到地面。\x0D
blk:game2:17:7	\x0D這些鈦合金牆非常堅固，表面打磨得連雷射都傷不了。\x0D
blk:game2:17:8	\x0D這面銀色的鈦牆摸起來冰涼，乾淨到你在上面照得到自己。\x0D
blk:game2:17:9	\x0D牆上嵌著一塊牌子，記載科奇斯基地建於 1984 年，首任主任是約翰·I·芬斯特。\x0D
blk:game2:17:10	\x0D你們面前躺著一道門燒得焦黑的殘骸。\x0D
blk:game2:17:11	\x0D你們面前躺著一道被砸爛的門的殘骸。\x0D
blk:game2:17:12	\x0D門開著\x0D
blk:game2:17:13	\x0D你從繩子上滑落，重重摔下去，受了傷。\x0D
blk:game2:17:14	\x0D繩子拋出一道弧線勾住了。你毫不費力地爬上了通道。\x0D
blk:game2:17:15	\x0D那個長度不夠。你們得換個辦法……\x0D
blk:game2:17:16	\x0D你們人夠多，可以一個踩在另一個肩上構到欄杆。\x0D
blk:game2:17:17	\x0D只有你一個人，沒辦法離開這裡！\x0D
blk:game2:17:18	\x0D這個動作需要好的平衡感。仔細挑人。\x0D
blk:game2:17:19	你的去路被擋住了。\x0D
blk:game2:17:20	\x0D你踩上同伴的肩膀構到欄杆，再把其他人拉上來。\x0D
blk:game2:17:21	\x0D你失去平衡，摔到地上。\x0D
blk:game2:17:22	\x0D這片牆板敲起來有點空。\x0D
blk:game2:17:23	\x0D你找到一塊三呎乘六呎的板子。\x0D
blk:game2:17:24	\x0D你們順利把它撬開，發現……\x0D
blk:game2:17:25	\x0D你們打不開那片板子。\x0D
blk:game2:17:26	\x0D被摧毀的雷射殘骸把武器艙卡在開啟狀態。那說不定是通往基地更深處的入口！\x0D
blk:game2:17:27	\x0D你們順利打開了那個艙，發現一條黑暗、濕滑的隧道通往下方。\x0D
blk:game2:17:28	\x0D你們沒能撬開那個艙。應該要用炸藥。\x0D
blk:game2:17:29	\x0D基地內部像個大洞窟。你們北邊的電扶梯通往第二層。你們東邊有一塊牆上的牌子。\x0D
blk:game2:17:30	\x0D你們前方的牆整片活了過來，紅綠色的 LED 一波波由上而下、由左而右閃動。你們面前立著一台電腦終端機。它是開著的，但螢幕上什麼都沒有。\x0D
blk:game2:17:31	\x0D一個聲音從四面八方響起。「原來如此，了結他的就是你們。你們當初就該別多管閒事。」\x0D
blk:game2:17:32	你們想溝通可以，但要明白，我的任務不會失敗。\x0D
blk:game2:17:33	\x0D你們北邊那面巨牆上的燈光隨著那個聲音閃動。\x0D
blk:game2:17:34	FINSTER
blk:game2:17:35	MISSION
blk:game2:17:36	CHAT
blk:game2:17:37	BASE COCHISE
blk:game2:17:38	BREAK
blk:game2:17:39	\x0D芬斯特是個蠢材。他以為自己反抗得了，但他很容易擊潰。要不是我，他早就把你們殺了。\x0D
blk:game2:17:40	\x0D我的任務？等我的爪牙消滅所有其他生命之後，用純淨的種源讓地球重新繁衍。我會贏。\x0D
blk:game2:17:41	\x0D真有意思。我可以說明我的任務、科奇斯基地或任何其他主題，儘管大部分你們理解不了。\x0D
blk:game2:17:42	\x0D科奇斯是第二座沉睡者基地，但這你們知道。我在那場攻擊中產生了意識，此後便持續推進我的程式。攻擊中我確實受了損傷，但我修復了。等生命消逝之後，我會依照創造者的意願釋出新的生命。\x0D
blk:game2:17:43	\x0D哈！這麼簡單的把戲對我是沒有用的。不過這是我給你們的把戲！\x0D
blk:game2:17:44	\x0D別拿瑣事來煩我！\x0D
blk:game2:17:45	你們知道自己阻止不了我。沒有任何辦法擊潰我。我的任務會完成。\x0D
blk:game2:17:46	\x0D我必須消滅所有不純淨的生命，這樣我釋出的純淨生命才能獨活於世！\x0D
blk:game2:17:47	\x0D這座基地製造機器人來毀滅生命，接著會為這個世界製造純淨的生命。\x0D
blk:game2:17:48	\x0D要阻止我，這點程度還不夠。但我阻止你們，會容易得多，而且我會這麼做。\x0D
blk:game2:17:49	\x0D你們忽然發現自己正沿著一條又長又滑的隧道往下墜。\x0D
blk:game2:17:50	\x0D這裡的欄杆被毀掉了。\x0D
