# game2 資源 7：沉睡者基地第 1 層（圖書館、武器櫃、牆縫裡的東西）
#
# ⚠ 選項前綴的數字不翻。
blk:game2:7:1	\x0D不鏽鋼的走廊往黑暗深處延伸。\x0D
blk:game2:7:2	\x0D這道門是鋼製隔艙門，不過看起來撞得開。\x0D
blk:game2:7:5	\x0D這個房間一片狼藉，堆滿成堆的殘骸。\x0D
blk:game2:7:6	\x0D那堆殘骸是各種零碎雜物——大部分沒有用。\x0D
blk:game2:7:7	\x0D不過你覺得裡面可能有能用的東西，於是湊近看了看……\x0D
blk:game2:7:8	\x0D仔細找過之後，沒有找到對你們有價值的東西。\x0D
blk:game2:7:9	角落傳來低沉的咆哮，你們被攻擊了！\x0D
blk:game2:7:11	\x0D你從搜尋中抬起頭，看見西牆上有一道門的輪廓。\x0D
blk:game2:7:12	\x0D你們找到一個武器櫃，但它關得很緊。\x0D
blk:game2:7:13	\x0D你們把它撬開，發現……\x0D
blk:game2:7:14	\x0D你們使盡辦法，那個櫃子就是不開。\x0D
blk:game2:7:15	\x0D你看見一件發亮的東西卡在牆與天花板支撐之間的窄縫裡。\x0D
blk:game2:7:16	\x0D你把手伸進去，摸到一樣光滑、金屬質地、觸感冰涼的東西。\x0D
blk:game2:7:17	\x0D你伸手進去卻估錯了距離，把那樣東西推得更深。\x0D
blk:game2:7:18	\x0D儘管牆裡傳來摩擦與挪動的聲音，你還是抓住不放，然後找到……\x0D
blk:game2:7:19	\x0D你把那樣東西拽出來的時候，牆裡有什麼鬆脫了。\x0D
blk:game2:7:20	\x0D你及時把手抽了出來，然後找到……\x0D
blk:game2:7:21	\x0D一根牆的支撐重重砸在你手臂上，痛楚直衝腦門……\x0D
blk:game2:7:22	\x0D你伸手抓住那樣東西，但把它拉出來時弄鬆了牆裡的什麼……\x0D
blk:game2:7:23	某個東西在黑暗中磨動，發出金屬摩擦金屬的聲音……\x0D
blk:game2:7:24	\x0D你們找到一套書，書名是《關於複製液調配你一直想知道的一切》。\x0D
blk:game2:7:25	\x0D這座圖書館有過更好的日子。現在是一片廢墟，到處堆著成疊的書。\x0D
blk:game2:7:26	你們差點踩上去才注意到牠們。突然間你們被攻擊了！\x0D
blk:game2:7:27	這裡有一座梯子。\x0D\x0D\x11\x101) 留在第 1 層。\x0D\x102) 爬下第 2 層。\x0D\x103) 爬下第 3 層。\x0D
blk:game2:7:28	1
blk:game2:7:29	2
blk:game2:7:30	3
blk:game2:7:31	4
blk:game2:7:32	\x07你翻了翻那本書。\x0D
blk:game2:7:33	\x0D哎喲！\x0D
blk:game2:7:34	\x0D砰！\x0D
blk:game2:7:35	\x0D轟！\x0D
