# game1 資源 34：針岩城的加油站、蘑菇雲教堂與警察局
#
# ⚠ 密語與玩家要輸入的答案不翻：Y／R／A／N／M／T／0／1／
# DIPSTICK／BUZZARD／PASTEL／TODD。
blk:game1:34:1	\x0D好痛！這是實心磚牆。\x0D
blk:game1:34:2	\x0D這間以前的「加油站」現在其實只是個修車廠。\x0D
blk:game1:34:3	\x0D別站到祭壇上。\x0D
blk:game1:34:4	\x0D這輛吉普車壞了，需要修。\x0D
blk:game1:34:5	\x0D你開車去維加斯，但一到那裡就被幾個強盜偷襲，搶走吉普車，把你丟在原地。\x0D
blk:game1:34:6	\x0D你看到一個睡著的服務員。他戴的帽子上寫著「別煩我！」。不管你怎麼弄，他就是叫不醒。\x0D
blk:game1:34:7	\x0D「這樣是一百塊。」\x0D
blk:game1:34:8	\x0D「我看你已經有一個了。」他從你手上拿走。\x0D
blk:game1:34:9	\x0D請看第 103 段。\x0D
blk:game1:34:10	\x0D你不會想進去的。相信我。\x0D
blk:game1:34:11	\x0D好吧。你用盡體力與意志硬是往前跋涉。污泥深及腰際，成千上萬隻六吋長、閃著光的吸血甲蟲在你四周蠕動。氣味比景象更糟，於是你明智地退了回來。\x0D
blk:game1:34:12	\x0D請看第 150 段。\x0D
blk:game1:34:13	\x0D「所以，你們回來了。血杖在哪裡？」\x0D
blk:game1:34:14	\x0D那不是血杖。」\x0D
blk:game1:34:15	\x0D「你們想耍什麼花招？這不是真的血杖。」他把它往你們頭上一折兩斷，然後把你們趕出去。\x0D
blk:game1:34:16	\x0D「非常感謝你們把血杖送回來。我聽說拉斯維加斯有麻煩。為表謝意，這些東西也許能幫你們在維加斯活下來。」\x0D
blk:game1:34:17	「孩子，我能為你做什麼？」\x0D
blk:game1:34:18	\x0D離開警察局。\x0D
blk:game1:34:19	\x0D一扇大觀景窗讓一些光線透進來。你看得見外面的路。\x0D
blk:game1:34:20	\x0D你走近時，服務員醒了。\x0D
blk:game1:34:21	DIPSTICK
blk:game1:34:22	Y
