# game2 資源 15：沉睡者基地的第 3 層（直升機模擬艙、人事檔案、地熱發電機）
#
# ⚠ 選項前綴的數字不翻。
#
# ⚠ 61 ＋ 22–28 是**全遊戲唯一一處執行期才組出來的段落引用**
# （`docs/re/33` §2）：「請看段落 」＋「52.」。數字那七條照原樣保留，
# 「段」字放不進去（原文只有三格），所以句型改成「請看段落 52.」。
blk:game2:15:2	\x0D你使盡全力，這道門就是不開。\x0D
blk:game2:15:4	\x07直升機模擬模組。\x0D
blk:game2:15:5	\x0D電源關閉。\x0D
blk:game2:15:6	\x0D空氣裡劈啪帶電！\x0D
blk:game2:15:7	\x0D＊滋＊\x0D
blk:game2:15:8	\x0D地板是鋼的，非常亮\x0D
blk:game2:15:9	\x0D你後頸的汗毛發麻，根根豎了起來。\x0D
blk:game2:15:10	\x0D＊滋＊＊啵＊\x0D
blk:game2:15:11	\x0D一陣電流的酥麻竄過你全身。\x0D
blk:game2:15:12	\x0D＊滋＊＊啵＊＊焦＊\x0D
blk:game2:15:13	\x0D＊滋＊＊啵＊＊焦＊＊劈＊\x0D
blk:game2:15:14	\x0D＊滋＊＊啵＊＊焦＊＊劈＊＊啪＊\x0D
blk:game2:15:15	\x0D你的頭髮開始冒煙。\x0D
blk:game2:15:16	\x0D你覺得自己像置身在一場巨大的雷雨正中央！\x0D
blk:game2:15:17	\x0D這看起來是一道保安門，但你們怎麼弄它都沒有反應。\x0D
blk:game2:15:18	\x0D一道防護柵欄擋著，讓你們靠不近角落那具地熱發電機。\x0D
blk:game2:15:19	\x0D這是你們見過最紮實的保險櫃門。\x0D
blk:game2:15:20	\x0D剛才那一下驚險，不過你們把它打開了。\x0D
blk:game2:15:21	\x0D你注意到南牆上有一道隱藏的門的輪廓。\x0D
blk:game2:15:22	52.\x0D
blk:game2:15:23	40.\x0D
blk:game2:15:24	100.\x0D
blk:game2:15:25	63.\x0D
blk:game2:15:26	70.\x0D
blk:game2:15:27	91.\x0D
blk:game2:15:28	101.\x0D
blk:game2:15:29	地板上滑開一個洞，升上來擋住你們的是……\x0D
blk:game2:15:30	一片牆板往上滑開，一群長著剃刀利爪的小東西竄了出來！\x0D
blk:game2:15:31	\x0D基地指揮官那張老鋼桌看起來狀況良好。中間的抽屜還鎖著。\x0D
blk:game2:15:32	\x0D狀況良不良好都一樣，你輕鬆就把它打開了。\x0D
blk:game2:15:33	\x0D你使盡辦法還是打不開那個抽屜。\x0D
blk:game2:15:35	\x0D對你來說，打開這個櫃子只比打開一個小豬撲滿難一點點。\x0D
blk:game2:15:36	\x0D你使盡全力，這個櫃子就是不開。\x0D
blk:game2:15:37	\x0D這是直升機模擬器。它側面板開著，控制開門那台電腦的零件好像不見了。\x0D
blk:game2:15:38	\x0D你用的零件裝上去剛好，裡面傳出的聲音顯示模擬器運作正常。\x0D
blk:game2:15:39	\x0D你的修理沒有成功，因為你用的器材不對。\x0D
blk:game2:15:40	\x0D直升機模擬艙。\x0D
blk:game2:15:41	\x0D一道藍光像一陣風打在你身上。你全身的肌肉同時抽動，接著渾身無力。\x0D
blk:game2:15:42	\x0D你一秒就恢復了，同時一個電腦聲音說：「反射合格。開始訓練。」\x0D
blk:game2:15:43	\x0D你踉蹌著退出虹膜門。一個機械的聲音說：「耳蝸神經發育不足。拒絕。」\x0D
blk:game2:15:44	\x0D一道內部的虹膜門旋開，門後你只看得見一片漆黑。\x0D
blk:game2:15:45	\x0D你往前一步，門在你身後喀一聲關上。\x0D
blk:game2:15:46	\x0D你還沒踏進去，門就啪地關上。那個艙一次只容得下一個人。\x0D
blk:game2:15:47	這裡有一座梯子。\x0D\x0D\x11\x101) 爬上第 1 層。\x0D\x102) 爬上第 2 層。\x0D\x103) 留在第 3 層。\x0D
blk:game2:15:48	\x0D這一段走廊很熱。\x0D
blk:game2:15:49	牆上滑開一個孔，一門渦輪介子砲——自走型 Mark VII——滾了出來。它的發射線圈正發著光。\x0D
blk:game2:15:50	1
blk:game2:15:51	2
blk:game2:15:52	3
blk:game2:15:53	4
blk:game2:15:54	電源控制板：\x0D要開啟電源嗎？\x0D\x0D\x11\x10Y 是\x0D\x10N 否\x0D
blk:game2:15:55	選擇資料檔：\x0D\x0D\x11\x101) 約翰·史密斯上校。\x0D\x102) 哈里森·艾德索少校。\x0D\x103) 佩瑞格林·塞特少校。\x0D\x104) 菲爾·湯瑪斯上尉。\x0D\x105) 安德莉亞·米爾斯上尉。\x0D\x106) 富蘭克林·畢姆斯博士。\x0D\x107) 羅素·海勒中尉。\x0D
blk:game2:15:56	5
blk:game2:15:57	6
blk:game2:15:58	7
blk:game2:15:59	8
blk:game2:15:60	\x0D去撞牆吧！\x0D
blk:game2:15:61	\x0D請看段落
blk:game2:15:62	電源開啟。\x0D
blk:game2:15:63	電源控制板：\x0D要關閉電源嗎？\x0D\x0D\x11\x10Y 是\x0D\x10N 否\x0D
blk:game2:15:64	Y
