# game2 資源 36：守護者堡壘的外殿、內殿、牢房、圖書館與小禮拜堂
#
# ⚠ 牆上那三句「箴言」同樣是廣告詞惡搞（Rolaids 胃藥、金寶湯），
# 56 的 `Rosebud` 是《大國民》的梗——那是英文電影史上最有名的一個字，
# 保留原文才看得出來，中文另加一句說明會破壞它藏在紙條上的效果。
#
# ⚠ `blk:game2:36:103` 的原文只有一個半形空白（版面用的間隔），不翻。
blk:game2:36:1	\x0D牆上虔敬地寫著一個問題：「解脫怎麼拼？」\x0D
blk:game2:36:2	\x0D這面牆是打磨光滑的黑曜岩，摸起來是溫的，顏色是深紫。\x0D
blk:game2:36:3	\x0D一道巨大的鋼製吊閘擋住了往上的樓梯。\x0D
blk:game2:36:4	\x0D青銅欄杆上打著蛇形的紋樣。\x0D
blk:game2:36:5	\x0D灰色大理石階梯從外殿通往上面的內殿。\x0D
blk:game2:36:7	\x0D殿的北端是一道往上的寬闊大理石階梯。\x0D
blk:game2:36:8	\x0D守護者堡壘的外殿極為宏偉，陳設著大浩劫之前的器物。\x0D
blk:game2:36:9	\x0D一條狹窄的走廊往北鑽進堡壘更深處。\x0D
blk:game2:36:10	\x0D你們的去路被一道鋼製牢門擋住，厚重的鎖用粗鋼條固定著。\x0D
blk:game2:36:11	\x0D這道門扭曲熔化得很慘，鎖已經完全不見蹤影。\x0D
blk:game2:36:12	\x0D亮銀色的刮痕標出當初用重型工具把這道門的鎖砸凹壓碎的地方。\x0D
blk:game2:36:13	你們一進房間，守護者的獄卒就跳起來驚呼。\x0D
blk:game2:36:14	房裡的守護者早就拔出武器，看你們進來只是冷笑。\x0D
blk:game2:36:20	你們一進房間，一道嘶嘶作響的刀刃就從身邊劃過。那把質子斧握在一個巨漢手上，從牆上撕下一整塊。\x0D
blk:game2:36:21	\x0D房間另一頭，你看見那具用來升起通往內殿吊閘的巨大絞盤。\x0D
blk:game2:36:22	\x0D吊閘絞盤是一個裝了許多握把的大輪子。鎖鏈繞過軸心一路通到天花板裡。\x0D
blk:game2:36:23	\x0D輪子轉動，你聽見頭頂上吊閘移動的聲音。\x0D
blk:game2:36:24	\x0D你使盡力氣，那個輪子還是動不了。\x0D
blk:game2:36:25	一個男性守護者撲向你，他身後又衝進一個女人加入攻擊。\x0D
blk:game2:36:26	\x0D這道門上掛著一塊耐人尋味的牌子：「我在冥想。打擾我者，性命自負。」\x0D
blk:game2:36:28	\x0D你聽見一聲巨響——一包被輕輕拋過來的炸藥落在你腳邊炸開。\x0D
blk:game2:36:29	\x0D你及時從門口往後一躍，爆炸的火焰吞沒了那整個走廊交會處。\x0D
blk:game2:36:30	\x0D硬質鎢的三角刀片閃著光弧射向你們。它們穿得透甲冑！\x0D
blk:game2:36:31	一個年老的守護者抬起頭。「他們沒教你們遊俠識字，是吧？」他拿起一把電鋸。「來打吧。」\x0D
blk:game2:36:32	\x0D這根柱子是砂岩雕的，與其說是支撐，不如說是裝飾。\x0D
blk:game2:36:33	\x0D這面牆上有人用有力的筆跡寫著一句肯定：「湯是好食物！」\x0D
blk:game2:36:34	一個像修士的守護者從一疊舊書後面跳出來攻擊你們！\x0D
blk:game2:36:35	\x0D這個房間塞滿了成千上萬本書。很多本比那顆炸彈還老！\x0D
blk:game2:36:36	\x0D這個架子上的書相當舊，按主題排列。你們對它們沒興趣。\x0D
blk:game2:36:37	\x0D有些書的皮革封面一碰就碎。這些大多是小說。\x0D
blk:game2:36:38	\x0D你們找到圖書館的技術類藏書了！\x0D
blk:game2:36:39	一個黑髮的女戰士跳起來朝你們猛烈開火！\x0D
blk:game2:36:40	\x0D一個藏著的守護者從隔板後面竄出來，朝你們噴射雷射！\x0D
blk:game2:36:41	\x0D不知為什麼，這具守護者的屍體你看著覺得怪怪的。\x0D
blk:game2:36:42	\x0D你看見光從他手上一枚金鑲縞瑪瑙的戒指反射出來。\x0D
blk:game2:36:43	\x0D你察覺這個守護者腰際有個奇怪的鼓起。那可能是炸彈。\x0D
blk:game2:36:44	\x0D藏在那個守護者腹部的那包塑膠炸藥引爆了！\x0D
blk:game2:36:45	\x0D＊＊＊轟＊＊＊穿甲彈片嘶嘶地劃過空中！\x0D
blk:game2:36:46	\x0D過程令人神經緊繃，但你們辦到了。炸彈成功解除。\x0D
blk:game2:36:47	\x0D這張行軍床整整齊齊。藍色羊毛毯蓋在漿得筆挺的白床單上。\x0D
blk:game2:36:48	\x0D這張床上隨手扔著一條鮮紅色的毯子，正中央還留著人躺過的凹痕。\x0D
blk:game2:36:49	一個守護者從床鋪底下滾出來，槍口噠噠作響，鉛彈灑得你們四周都是。\x0D
blk:game2:36:50	\x0D這個守護者還沒完全斷氣。他招手要你靠近。他的嘴唇在動，但你聽不見他的耳語。\x0D
blk:game2:36:51	\x0D讀書中。\x0D
blk:game2:36:52	\x0D你跪下來俯身去聽他最後的話。他的手指扣住你的喉嚨。「去死吧，異教徒！」他一邊尖叫一邊掐住你的脖子。他的握力硬如鐵。血在你的太陽穴裡衝撞，他咧著嘴想把你活活掐死！你必須掙脫！\x0D
blk:game2:36:53	\x0D你抓住他的手腕，把他的手扳開了！他臉上的獰笑消失，心碎地嚥了氣。\x0D
blk:game2:36:54	\x0D你死命扯他的手腕，卻扳不開他的手！\x0D
blk:game2:36:55	\x0D雖然你扳不開他的手，這一番用力還是要了他的命。他的手鬆了，垂了下去。\x0D
blk:game2:36:56	\x0D你從床墊底下抽出一張紙，上面潦草地寫著一個字：「Rosebud」。\x0D
blk:game2:36:58	\x0D這裡的牆上鑿著幾道狹窄的射孔。\x0D
blk:game2:36:59	\x0D禮拜堂的祭壇正面有一幅青銅三聯畫，描繪人類的興起、墮落與復活。\x0D
blk:game2:36:60	\x0D三聯畫中間那一片是鬆的，後面你們找到一個存放聖物的小凹室。\x0D
blk:game2:36:61	致命的飛彈從牆上隱藏的細縫裡傾瀉而出。\x0D
blk:game2:36:62	\x0D這裡看起來是一間小的守護者禮拜堂。裡面很暗，牆上畫著怪誕的肖像。\x0D
blk:game2:36:63	\x0D有人踩到隱藏的開關，在這一段走廊引發了一場大火爆炸！\x0D
blk:game2:36:64	一個吃驚的女人從書桌後抬起頭，隨即撲向一把槍！\x0D
blk:game2:36:65	一個高大而暴怒的男人舉起能量步槍開火！\x0D
blk:game2:36:66	一個相當意外的男人從牌桌上抬起頭。「這局不算我，」他一邊說一邊拔槍。\x0D
blk:game2:36:67	\x0D請看第 162 段。\x0D
blk:game2:36:69	\x07這裡有很多書可以讀。\x0D
