# game1 資源 28：血之神殿的血池與島（狙擊手、雷射砲塔、血祭司）
#
# ⚠ 密語不翻：MOTEKIM／Y／N。
#
# 35–41 是一句話拆成七行逐行印出來（`You've／got／your／balls／to／the／wall.`）。
# 中文也拆成七行，讓它照樣一行一行跳出來：你們／已經／被／逼到／牆／角／了。
blk:game1:28:1	\x0D你發現吸進混濁的護城河浮渣並不怎麼有趣。\x0D
blk:game1:28:2	\x0D今天魚很會咬。哎喲！\x0D
blk:game1:28:3	\x0D你注意到大門內側有一塊壓力板。\x0D
blk:game1:28:4	\x0D這裡的牆上刻著塗鴉，寫著：「發射碼是 MOTEKIM。」\x0D
blk:game1:28:5	天上掉下來的黏滑生物噗通落進旁邊的護城河。\x0D
blk:game1:28:6	\x0D有東西浮在水面上。\x0D
blk:game1:28:7	那個狙擊手拉動大口徑步槍的槍機，心裡想著：「我要幹掉那個看起來最囂張的遊俠。」\x0D
blk:game1:28:8	島東南側的狙擊手正盯著你們。\x0D
blk:game1:28:9	島東北處的狙擊手已經把你們納入瞄準線。\x0D
blk:game1:28:10	一個狙擊手用紅外線看穿黑暗，大喊：「我的準星鎖住你了，瞄的是你的……頭。」\x0D
blk:game1:28:11	\x0D一道大木門。\x0D
blk:game1:28:12	\x0D抱歉。\x0D
blk:game1:28:13	\x0D轟！！（那道門就這樣沒了！）\x0D
blk:game1:28:14	\x0D好本事！那對門你只碰一下就開了。\x0D
blk:game1:28:15	\x0D長滿青苔的牆往上沒入黑暗。\x0D
blk:game1:28:16	\x0D空氣太潮濕，這些牆滑得根本爬不上去。\x0D
blk:game1:28:17	你要跳過那塊感壓板嗎？\x0D\x0D\x11\x10Y 是\x0D\x10N 否\x0D
blk:game1:28:18	Y
blk:game1:28:19	\x0D你一踩上壓力板，南邊一座雷射砲塔就活了過來，開始猛烈掃射。\x0D
blk:game1:28:20	一座雷射砲塔朝你們的方向轉了過來。\x0D
blk:game1:28:21	\x0D一座自動雷射砲塔（目前沒有啟動）。\x0D
blk:game1:28:22	\x0D轟！！這座砲塔保證再也動不了。\x0D
blk:game1:28:23	\x0D這座砲塔看起來除了炸藥什麼都傷不了。（裝甲板嘛，你懂的……）\x0D
blk:game1:28:24	\x0D你在那座砲塔扭曲的殘骸上踩了幾腳。\x0D
blk:game1:28:25	一支巡邏隊發現了你們。\x0D
blk:game1:28:26	\x0D請看第 60 段。\x0D
blk:game1:28:27	嗜血的生物看見你們就舔起了嘴。\x0D
blk:game1:28:28	一個握著血杖、穿長袍的男人臉上露出飢渴的神情。\x0D
blk:game1:28:29	\x0D一道厚重的木門。\x0D
blk:game1:28:31	\x0D一道門的碎片掛在鬆脫的鉸鏈上。\x0D
blk:game1:28:32	\x0D這座巨大的廳堂裡是一大片血水，中央圍著一座島。你們站在廳堂南端一座小木碼頭上。越過血水的北邊就是那座島。你們勉強看得出島上有一座大型結構。\x0D
blk:game1:28:33	\x0D你們走上階梯。\x0D
blk:game1:28:34	\x0D一棟小建築的牆。\x0D
blk:game1:28:35	\x0D你們\x0D
blk:game1:28:36	\x0D已經\x0D
blk:game1:28:37	\x0D被\x0D
blk:game1:28:38	\x0D逼到\x0D
blk:game1:28:39	\x0D牆\x0D
blk:game1:28:40	\x0D角\x0D
blk:game1:28:41	\x0D了。\x0D
blk:game1:28:42	血祭司守衛開始自衛。\x0D
