# game2 資源 25：拉斯維加斯的下水道與改造人實驗室
#
# ⚠ 68–73 是執行期串起來的句子：「那個零件對修復機器人的」＋ 部位 ＋「沒有用。」
# 順序由程式決定，只能照原位翻。
blk:game2:25:1	1
blk:game2:25:2	2
blk:game2:25:3	3
blk:game2:25:4	4
blk:game2:25:7	\x0D污水的急流把你沖得站不住腳，一路捲往下游。\x0D
blk:game2:25:8	\x0D這是一道大幅補強過的門。\x0D
blk:game2:25:13	\x0D水非常冷。那黏滑的觸感讓你渾身發寒。\x0D
blk:game2:25:19	\x0D這段實心的牆敲起來是空心的。\x0D
blk:game2:25:20	\x0D牆挪動後崩落，留下一個夠你們鑽過去的洞。\x0D
blk:game2:25:22	你聽見有東西劃過水面，在混濁的水裡濺出水花。\x0D
blk:game2:25:23	\x0D陰影深處，你聽見改造人攻擊者急促的低聲命令。\x0D
blk:game2:25:24	一個金屬做的惡夢竄了出來。牠尾巴上的金屬尖刺豎起，朝你們射過來！\x0D
blk:game2:25:26	\x0D幾根粗磨過的鋼條從一個佈置巧妙的陷阱裡射出來！\x0D
blk:game2:25:27	\x0D你在屍體裡也找到了一樣東西……\x0D
blk:game2:25:28	轉角那邊，你看見一支相當大的改造戰士巡邏隊，而且他們氣壞了！\x0D
blk:game2:25:29	鋼鐵與血肉組成的戰士擋住你們的去路。\x0D
blk:game2:25:30	\x0D修復未完成，無法進行組件裝配\x0D
blk:game2:25:31	\x0D污水在這裡積成一潭黑暗森然的死水。\x0D
blk:game2:25:32	\x0D污水從這裡的牆底下流過，拉扯著要把你捲進去。\x0D
blk:game2:25:33	\x0D你被吸進水裡、捲到牆底下。儘管你萬般不願，還是被撞在池底上。\x0D
blk:game2:25:34	\x0D這裡的金屬門很厚，正中央用粗體字漆著「LAB」。\x0D
blk:game2:25:37	\x0D缺少頭部組件，無法進行修復。\x0D
blk:game2:25:38	\x0D這些東西的主人裝了陷阱，而你觸發了它。屋頂轟然塌了下來！\x0D
blk:game2:25:39	\x0DROM 控制單元受損。\x0D
blk:game2:25:40	\x0D電力系統受損\x0D
blk:game2:25:41	\x0D缺少電源\x0D
blk:game2:25:42	\x0D修好的組件在檯面上鎖定，被拉進牆裡進行裝配。\x0D
blk:game2:25:43	\x0D裝置無法運作\x0D
blk:game2:25:44	\x0D伺服馬達功能受損。\x0D
blk:game2:25:45	機器人裝配站：\x0D\x0D\x11\x10 1) 診斷功能\x0D\x10 2) 開始修復\x0D\x10 3) 準備裝配\x0D
blk:game2:25:47	一群狼形機械怪物一邊尖吠低吼一邊站起來攻擊！\x0D
blk:game2:25:48	閃著金屬光澤的血肉半人馬朝你們奔來！\x0D
blk:game2:25:49	\x0D你偶然踢到一小堆值錢的破爛。\x0D
blk:game2:25:52	一群半人與改造人從陰影裡撲了出來！\x0D
blk:game2:25:55	\x0D這片實驗區裡大部分的設備都壞了。不過東牆邊有些設備看起來還能用。\x0D
blk:game2:25:56	\x0D這裡看起來不是個適合橫渡污水河的地方。\x0D
blk:game2:25:57	一個落單的改造人咧開金屬的獰笑，低聲笑了。他發動攻擊！\x0D
blk:game2:25:58	\x0D這一段雖然比下水道前段乾淨，還是滿地廢棄物，令人不敢久留。\x0D
blk:game2:25:61	\x0D一聲狼嚎在黑暗中迴盪，從四面八方傳來。你覺得不安。\x0D
blk:game2:25:63	一聲狼嚎劈啪化成合成的雜訊，改造狼從巢穴裡撲出來攻擊。\x0D
blk:game2:25:64	你看見幾個纏著線路、披著鋼甲的人形舉起武器，朝你們這邊開火。\x0D
blk:game2:25:65	這間前室駐守著幾個改造人，不打算讓你們平安通過。\x0D
blk:game2:25:66	\x0D這一站所需的修復全部完成。\x0D
blk:game2:25:67	\x0D這具組件修復完成，一切正常。\x0D
blk:game2:25:68	\x0D那個零件對修復機器人的
blk:game2:25:69	頭
blk:game2:25:70	軀幹
blk:game2:25:71	手臂
blk:game2:25:72	腿
blk:game2:25:73	 沒有用。\x0D
blk:game2:25:74	\x0D左膝的組件一團糟。\x0D
blk:game2:25:75	\x0D伺服馬達喀一聲滑進定位。\x0D
blk:game2:25:76	\x0D右髖顯然需要處理一下。\x0D
blk:game2:25:77	\x0D左肩的組件真的需要大修。\x0D
blk:game2:25:78	\x0D能源插座是空的。\x0D
blk:game2:25:79	\x0D融合電池輕鬆地旋進定位。\x0D
blk:game2:25:80	\x0D舊的電力轉換器冒著火花和煙。\x0D
blk:game2:25:81	\x0D新的電路板輕鬆滑進托架。\x0D
blk:game2:25:82	\x0D中央伺服馬達被舊的電力板弄壞了。要驅動整具組件就得換掉它。\x0D
blk:game2:25:83	\x0D在所有裝配作業完成之前，這具組件無法運作。\x0D
blk:game2:25:84	\x0D組件控制功能板需要更換。\x0D
blk:game2:25:85	\x0D那個機器人醒了過來。請看第 15 段。\x0D
blk:game2:25:87	\x0D新的電力轉換器嗡嗡運轉。\x0D
blk:game2:25:88	\x0D頭部喀一聲扣進定位。\x0D
