# game1 資源 31：針岩城的舊彈藥庫（血之神殿的地下部分）
#
# `M3 Regan All Terrain Hover Tank`／`M3 RATT` 是原版自創的載具，
# 型號保留原文，全名譯出來當第一次出現的說明。
blk:game1:31:1	\x0D這些鋼筋混凝土牆有些年頭了，看起來會永遠立在那裡。\x0D
blk:game1:31:2	\x0D這些混凝土牆燒得焦黑，像是這裡曾經有過一場大火。\x0D
blk:game1:31:3	\x0D這道門剩下的，是一百來片燒過的金屬碎塊。\x0D
blk:game1:31:4	\x0D這道門剩下的金屬，連做一個迴紋針都不夠。\x0D
blk:game1:31:5	\x0D這道鋼門新得像裝上去那天一樣。\x0D
blk:game1:31:6	\x0D你把門打開了！\x0D
blk:game1:31:7	\x0D這道鋼門看起來又厚又重。\x0D
blk:game1:31:8	\x0D路已經清出來，你們可以過去了。\x0D
blk:game1:31:9	\x0D圍著中央豎井的欄杆擋住了你們的路。\x0D
blk:game1:31:10	\x0D這道門被人用一種再也關不上的方式打開了。\x0D
blk:game1:31:11	\x0D一道鋼門的碎片散落一地。\x0D
blk:game1:31:12	\x0D一個破掉的放射性廢料桶埋在垃圾裡躺在這裡。\x0D
blk:game1:31:13	\x0D往上走出去，回到沙漠的新鮮空氣裡。\x0D
blk:game1:31:14	\x0D你們走下樓梯時，腳步聲空洞地迴響。\x0D
blk:game1:31:15	\x0D你們每踩一步，這道老樓梯就嘎吱作響。\x0D
blk:game1:31:16	\x0D你們走出這座舊彈藥庫，回到針岩城乾燥的新鮮空氣裡。\x0D
blk:game1:31:17	\x0D牆上漆著一個被煙燻黑的藍色大「1」。\x0D
blk:game1:31:18	\x0D牆上漆著一個藍色的大「2」。\x0D
blk:game1:31:19	\x0D牆上漆著一個藍色的大「3」。\x0D
blk:game1:31:20	這些一臉飢餓的野獸把你們當成午餐。\x0D
blk:game1:31:21	低吼聲包圍了你們，幾隻兇惡的生物正在逼近。\x0D
blk:game1:31:22	小心，你們被攻擊了！\x0D
blk:game1:31:23	這些沙漠生物要把你們撕成碎片。\x0D
blk:game1:31:24	\x0D這個房間看起來發生過許多次獻祭殺人。\x0D
blk:game1:31:25	\x0D這個滿是高科技設備的房間被炸藥毀了。剩下的只有牆上一塊牌子。\x0D
blk:game1:31:26	\x0D很久很久以前有人把這個房間翻了個遍砸個稀爛，久到所有東西都鏽了。\x0D
blk:game1:31:27	\x0D地板上滿是乾掉的血。\x0D
blk:game1:31:28	\x0D這面牆上那塊缺角的牌子寫著：「MXII 發射室」。\x0D
blk:game1:31:29	\x0D你看見沾血的破布條散落一地。\x0D
blk:game1:31:30	\x0D角落躺著幾具舊骸骨。\x0D
blk:game1:31:31	一頭猙獰的二十呎高巨獸，像豬和鱷魚的混合體，轉身攻向你們。\x0D
blk:game1:31:32	\x0D這裡看起來是戰車與火砲砲彈的儲藏區。說不定還剩下一發。\x0D
blk:game1:31:33	\x0D架子上放著幾件沾血的舊袍子。\x0D
blk:game1:31:34	\x0D架子上疊著好幾堆黃色炸藥。這東西老到你站太近它就會炸。\x0D
blk:game1:31:35	\x0D這些架子上有幾顆看起來很兇的手榴彈，還有幾塊醜醜的灰色塑膠炸藥。\x0D
blk:game1:31:36	\x0D架子上有幾個舊彈匣，甚至還有一個舊電池組。\x0D
blk:game1:31:37	\x0D一堆生鏽的線路和裝甲板，是一輛 M3 Regan 全地形氣墊戰車僅存的殘骸。\x0D
blk:game1:31:38	\x0D原本停在這裡的那輛 M3 RATT 很久以前就開走了，去對抗入侵者。\x0D
blk:game1:31:39	\x0D這以前是一門威力強大的火砲。可惜好幾處都斷了。\x0D
blk:game1:31:40	\x0D濃重的霉味充滿整座彈藥掩體。你們踩進一灘灘血裡時濺起水花。一看就知道很少有人來這裡。\x0D
blk:game1:31:41	\x0D這批黃色炸藥老到極不穩定，你只要碰它一下它就會炸。\x0D
blk:game1:31:42	\x0D哎呀！你撞到它了。現在你的……轟——！\x0D
blk:game1:31:43	\x0D等等！這東西看起來裝了陷阱，說不定這就是它還留在這裡的原因。\x0D
blk:game1:31:44	\x0D得有相應本事的人才解得掉這個非常危險的陷阱。\x0D
blk:game1:31:45	\x0D你辦到了！哇，你真行。有這種本事，你或許該去闖蕩闖蕩。\x0D
blk:game1:31:46	\x0D真是一團亂，這些架子被一場大爆炸掃過。沾血的袍子碎片散落各處。燒得焦黑的金屬散落在你們四周。\x0D
blk:game1:31:47	\x0D小心，你可能會被金屬碎片割傷。\x0D
blk:game1:31:48	\x0D你被爆炸震得往後飛。\x0D
blk:game1:31:50	\x0D這裡躺著一具屍體。你看見他脖子上有一道切口。\x0D
blk:game1:31:51	\x0D你找到……\x0D
blk:game1:31:52	\x0D你沒看到什麼特別的東西。\x0D
