# game2 資源 12：拉斯維加斯的街道、機場、賽車場與雷區
#
# 街名沿用既有譯法（`translations/glossary.md` 的「地點」），
# 賭城大道那幾條照當年台灣代理常見的音譯。
blk:game2:12:1	特羅皮卡納大道
blk:game2:12:2	紅鶴大道
blk:game2:12:3	沙漠旅館路
blk:game2:12:4	撒哈拉大道
blk:game2:12:5	查爾斯頓大道
blk:game2:12:6	拉斯維加斯大道
blk:game2:12:7	天堂路
blk:game2:12:8	馬里蘭大道
blk:game2:12:9	中央路
blk:game2:12:10	舊高速公路
blk:game2:12:11	巨石公路
blk:game2:12:12	\x0D你們在機場跑道上。\x0D
blk:game2:12:13	\x0D你們在機場的直升機停機坪上。\x0D
blk:game2:12:14	\x0D一道頂上拉著有刺鐵絲的高鐵絲網圍著機場。\x0D
blk:game2:12:15	\x0D一道高石牆擋住你們。\x0D
blk:game2:12:16	\x0D你撞上了一株仙人掌。\x0D
blk:game2:12:17	\x0D試試走門吧。\x0D
blk:game2:12:18	\x0D這些牆圍著賽車場。\x0D
blk:game2:12:19	\x0D那些刺在你身上戳出好幾個洞。\x0D
blk:game2:12:20	\x0D進入監獄。\x0D
blk:game2:12:21	\x0D一條隧道通進賽車場。\x0D
blk:game2:12:22	\x07你們身在拉斯維加斯圖書館的殘骸裡。\x0D
blk:game2:12:23	\x0D許多打歪的高爾夫球被打進了這個池塘。\x0D
blk:game2:12:24	\x0D走在地雷上的時候應該更小心一點。\x0D
blk:game2:12:25	\x0D你發現一顆埋得很巧妙的地雷。\x0D
blk:game2:12:26	\x0D可惜不是每個人都發現得了。\x0D
blk:game2:12:27	\x0D進入一個鬼地方。\x0D
blk:game2:12:28	\x0D這個爛坑連老鼠都住不下去。\x0D
blk:game2:12:29	\x0D隧道把你們帶了回去。\x0D
blk:game2:12:30	\x0D這裡好像埋著什麼東西。\x0D
blk:game2:12:31	\x0D你們開始挖……\x0D
blk:game2:12:32	\x0D你們沒有鏟子。\x0D
blk:game2:12:33	\x0D你們找到東西了！\x0D
blk:game2:12:34	\x0D是音波鑰匙！\x0D
blk:game2:12:35	\x0D只是一些垃圾。\x0D
blk:game2:12:36	\x0D試試從門走進去。\x0D
blk:game2:12:37	\x0D進入維加斯醫院——有錢人在這裡康復，窮人在這裡早死。\x0D
blk:game2:12:38	\x0D進入拉斯維加斯圖書館。\x0D
blk:game2:12:39	\x0D進入蘑菇雲僕從神殿。\x0D
blk:game2:12:40	\x0D進入胖佛萊迪的地盤——連小賭客都能玩得盡興。\x0D
blk:game2:12:41	\x07你們身在維加斯醫院。\x0D
blk:game2:12:42	\x0D裡面有人開槍了。\x0D
blk:game2:12:43	胖佛萊迪的打手從建築裡湧出來攻擊。\x0D
blk:game2:12:44	\x0D進去黑桃賭場吧，豪客。\x0D
blk:game2:12:45	死亡機器！\x0D
blk:game2:12:46	他們是機器人還是人？\x0D
blk:game2:12:47	你看見一隊重裝武裝的人。\x0D
blk:game2:12:48	她很美，而且在發光。\x0D
blk:game2:12:49	看起來像一輛坦克，配著一個披甲戰士。\x0D
blk:game2:12:50	戰鬥機械體！\x0D
blk:game2:12:51	\x0D離開拉斯維加斯。\x0D
blk:game2:12:52	\x0D南北向
blk:game2:12:53	\x0D東西向
blk:game2:12:54	\x0D
blk:game2:12:55	\x0D進入一棟破爛的小建築。\x0D
blk:game2:12:56	小心！你們被埋伏了！\x0D
