# 字串 key → 段落編號（tools/extract_paragraph_refs.py 產生，不要手改）
# 83 條引用、82 個不同編號
# 編號在執行期才拼上去、這裡抽不到的（docs/re/33 §2）：
#   blk:game2:15:61
blk:game1:27:14	136
blk:game1:27:16	112
blk:game1:27:21	77
blk:game1:27:25	37
blk:game1:27:50	66
blk:game1:27:6	124
blk:game1:27:70	124
blk:game1:28:26	60
blk:game1:29:8	6
blk:game1:2:105	23
blk:game1:2:111	10
blk:game1:2:132	57
blk:game1:34:12	150
blk:game1:34:47	104
blk:game1:34:53	111
blk:game1:34:62	127
blk:game1:34:78	61
blk:game1:34:79	158
blk:game1:34:80	29
blk:game1:34:9	103
blk:game1:49:41	30
blk:game1:4:65	109
blk:game1:4:78	26
blk:game1:4:85	126
blk:game1:4:96	35
blk:game1:6:50	107
blk:game1:6:66	147
blk:game1:6:68	155
blk:game1:6:90	49
blk:game1:8:1	2
blk:game1:8:13	17
blk:game1:8:28	54
blk:game1:8:34	86
blk:game1:8:37	39
blk:game1:8:44	43
blk:game1:8:47	46
blk:game1:8:48	110
blk:game1:8:49	156
blk:game1:8:50	160
blk:game1:8:51	152
blk:game1:8:52	117
blk:game1:8:53	141
blk:game1:8:54	128
blk:game1:8:55	3
blk:game1:8:56	148
blk:game1:8:70	28
blk:game1:8:9	42
blk:game1:9:39	56
blk:game1:9:50	84
blk:game2:13:32	90
blk:game2:20:72	47
blk:game2:20:73	79
blk:game2:20:74	130
blk:game2:20:75	118
blk:game2:21:35	146
blk:game2:21:43	41
blk:game2:21:44	137
blk:game2:21:45	140
blk:game2:21:46	114
blk:game2:21:47	34
blk:game2:21:48	53
blk:game2:21:49	69
blk:game2:21:50	32
blk:game2:21:74	121
blk:game2:21:75	11
blk:game2:21:76	88
blk:game2:21:77	80
blk:game2:22:25	14
blk:game2:25:85	15
blk:game2:35:49	85
blk:game2:35:58	20
blk:game2:36:67	162
blk:game2:38:103	129
blk:game2:38:104	76
blk:game2:39:24	99
blk:game2:39:30	7
blk:game2:40:33	21
blk:game2:40:41	119
blk:game2:40:89	65
blk:game2:41:40	96
blk:game2:41:41	139
blk:game2:41:58	71
blk:game2:41:90	83
